,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,G1,G2,G3,G4,G5,G7,G8,G9,G11,G12,H1,H2,H3,H4,H5,H7,H8,H9,H11,H12
,60,-10.7069775158566,-26.1002215817848,-32.8993237610141,-36.8853157536164,-14.4424834630668,-17.0379674587816,-24.8582548566615,-27.6297515453846,-21.2980724807517,8.20658657797526,2.78025517562423,2.98773784768503,-21.8198737661412,-29.9563144526833,-36.936390962381,-17.7209129133214,-9.1392365325155,15.9164453756939,-18.6107262949045,-14.2664690896556,6.73980784114497,21.6302814710589,42.719486910665,-23.7220912999803,-8.62121447993241,9.64721509862716,-4.66333305203716,-14.7995979426187,-3.66394040232103,5.97745967517744,-8.23636973669909,-8.10257396418501,5.71779502961067,-6.18959258501695,-3.73086201254478,-7.18196615554143,-6.04616210545214,-0.417113149708939,-11.2306161861961,18.5733822676611,21.7543169750188,20.7631351027578,2.95563522895213,-2.69165752065464,6.84900210756882,-6.92000533539363,-2.39991656856841,-14.3342424781356,-22.5793613584578,-23.8687057258869,-40.9584578861445,-63.7943617311266,-42.127144540229,-46.8550198750261,-26.4241122874364,-51.2332481425437,-38.500407038081,-28.4468508160953,-4.3772941521338,-7.65868162125503,-2.52353555557886,-8.47799747099862,2.04892030968193,-31.7232478308351,2.58455411674538,-3.74911957931067,-12.6957749115204,1.95705032171901,23.1271568316713,7.46460009348436,1.56424001866964,1.876632802139,2.49716303053202,1.85983467149555,1.73280368474087,2.29386095702603,1.48368982960699,1.71475875979405,1.69630087060904,1.05563290417098
,60.5,-23.198451284353,-56.5504800938681,-71.2818681488652,-79.9181841328366,-31.2920475033095,-36.9155961606914,-53.859552189434,-59.864461681665,-46.1458237082982,17.7809375856157,6.02388621384989,6.47343200331761,-47.2763931599718,-64.9053479808169,-80.0288470851601,-38.3953113121961,-19.8016791537825,34.4856316473347,-40.3232403056263,-30.9106830275848,14.6029169891472,46.8656098539593,92.5588883064399,-51.397864483291,-18.6792980398525,20.9022993803594,-10.1038882794162,-32.0657955423428,-7.93853753836197,12.9511626295514,-17.8454677628504,-17.5555769224009,12.3885558974919,-13.4107839342037,-8.08353436051289,-15.5609266703398,-13.100017895146,-0.903745157703497,-24.3330017367559,40.2423282465986,47.1343534458744,44.9867927226417,6.40387632939814,-5.83192462808688,14.8395045664015,-14.9933448933521,-5.19981923189744,-31.0575253692946,-48.9219496099918,-51.7155290727558,-88.7433254199764,-138.221117084105,-91.2754798371607,-101.519209729225,-57.2522432894432,-111.005370975509,-83.4175485825099,-61.6348434348743,-9.48413732962376,-16.5938101793872,-5.46766037042073,-18.3689945204965,4.43932733764399,-68.7337036334743,5.59986725294846,-8.12309242184165,-27.5075123082947,4.24027569705726,50.1088398019542,16.1733002025489,3.38918670711774,4.06603773796763,5.41051989948625,4.0296417882397,3.75440798360569,4.97003207355652,3.21466129748109,3.71531064622064,3.67531855298586,2.28720462570385
,61,-21.4139550317107,-52.2004431635721,-65.7986475220328,-73.7706315072353,-28.8849669261317,-34.0759349175594,-49.7165097133254,-55.2595030907676,-42.5961449615061,16.4131731559546,5.56051035124597,5.97547569536965,-43.6397475322817,-59.9126289053713,-73.8727819247665,-35.441825826641,-18.2784730650299,31.8328907513858,-37.2214525898087,-28.532938179309,13.4796156822881,43.2605629421146,85.4389738213292,-47.444182599959,-17.2424289598605,19.2944301972566,-9.32666610407637,-29.5991958852394,-7.32788080464184,11.9549193503551,-16.4727394734002,-16.2051479283682,11.435590059225,-12.3791851700325,-7.46172402508887,-14.3639323110845,-12.0923242109041,-0.83422629941856,-22.4612323723902,37.1467645353237,43.5086339500369,41.5262702055154,5.91127045790608,-5.38331504131088,13.6980042151415,-13.8400106707847,-4.79983313713456,-28.6684849562735,-45.1587227169173,-47.7374114517747,-81.9169157722843,-127.588723462251,-84.2542890804559,-93.7100397500535,-52.8482245748708,-102.466496285085,-77.0008140761629,-56.8937016321918,-8.75458830426624,-15.317363242513,-5.04707111115761,-16.9559949419968,4.09784061936369,-63.4464956616669,5.16910823349087,-7.49823915862498,-25.3915498230413,3.91410064343745,46.254313663344,14.9292001869691,3.12848003733944,3.75326560427783,4.99432606106421,3.71966934299053,3.4656073694826,4.58772191405171,2.96737965921335,3.42951751958827,3.39260174121728,2.11126580834201
,61.5,-21.4139550317252,-52.2004431635953,-65.7986475220555,-73.7706315072469,-28.8849669261313,-34.0759349175539,-49.716509713297,-55.2595030907985,-42.5961449615188,16.4131731559833,5.56051035123119,5.97547569536732,-43.6397475322801,-59.9126289053725,-73.8727819247604,-35.4418258266414,-18.278473065059,31.832890751388,-37.2214525898148,-28.532938179332,13.4796156822986,43.2605629421041,85.4389738213133,-47.4441825999413,-17.2424289598598,19.2944301972736,-9.32666610407546,-29.5991958852569,-7.32788080464593,11.9549193503692,-16.4727394733793,-16.2051479283632,11.4355900592211,-12.3791851700439,-7.46172402508455,-14.3639323110767,-12.0923242109081,-0.8342262994056,-22.4612323723838,37.1467645353271,43.5086339500425,41.5262702054978,5.91127045789585,-5.38331504131861,13.6980042151185,-13.8400106707954,-4.79983313713319,-28.6684849562732,-45.1587227169196,-47.7374114517663,-81.9169157722943,-127.588723462248,-84.2542890804432,-93.7100397500465,-52.8482245748837,-102.466496285103,-77.0008140761718,-56.8937016321813,-8.75458830426078,-15.3173632425039,-5.04707111115323,-16.955994941984,4.09784061936602,-63.4464956616876,5.16910823349042,-7.4982391586218,-25.3915498230333,3.91410064344137,46.2543136633512,14.9292001869563,3.12848003733291,3.7532656042751,4.99432606106467,3.71966934299007,3.46560736947941,4.58772191404876,2.96737965920744,3.42951751958606,3.39260174121881,2.11126580833889
,62,-21.4139550316133,-52.2004431634157,-65.7986475218634,-73.7706315071582,-28.8849669261579,-34.0759349176101,-49.7165097135285,-55.2595030905613,-42.5961449614083,16.4131731557482,5.5605103513642,5.97547569538534,-43.6397475322929,-59.9126289053509,-73.8727819247993,-35.4418258266398,-18.2784730648491,31.8328907513767,-37.2214525897675,-28.5329381791614,13.4796156822172,43.2605629422048,85.4389738214388,-47.4441826000825,-17.2424289598732,19.2944301971477,-9.32666610407432,-29.5991958851084,-7.32788080460841,11.9549193502564,-16.4727394735382,-16.2051479284025,11.4355900592413,-12.3791851699552,-7.46172402511911,-14.3639323111427,-12.0923242108695,-0.834226299511101,-22.4612323724393,37.1467645352957,43.5086339500032,41.5262702056378,5.9112704579627,-5.38331504124585,13.6980042152979,-13.8400106707056,-4.79983313713819,-28.6684849562791,-45.158722716895,-47.7374114518107,-81.9169157722145,-127.588723462286,-84.2542890805576,-93.7100397500919,-52.848224574795,-102.466496284971,-77.0008140761045,-56.8937016322484,-8.7545883043108,-15.3173632425603,-5.04707111118825,-16.9559949420795,4.09784061934579,-63.4464956615343,5.16910823349406,-7.49823915862862,-25.391549823097,3.91410064341005,46.2543136632908,14.9292001870625,3.1284800373852,3.75326560429534,4.99432606106262,3.71966934299581,3.46560736950022,4.58772191407343,2.96737965925524,3.42951751960538,3.39260174121165,2.11126580836344
,62.5,-23.7119150935762,-55.9702301973155,-69.8601605473516,-77.5783885008273,-32.5879838289329,-37.9503373658847,-53.5185418077299,-59.1806036184644,-46.8706256752853,12.8592326881776,1.48004426057719,6.01123173102269,-47.2562234038037,-63.6744019772559,-77.5333432905318,-38.8771056312537,-21.8569649894084,28.4066006250416,-40.7102033832764,-32.8316933877104,9.3915537338271,39.6857784852089,82.8550395870068,-52.861088544902,-20.5173913157025,16.0010185317274,-12.7168189314793,-32.3892879179687,-10.7103899426618,8.30201194467418,-20.0170993511122,-19.8736139638847,7.57991436704856,-15.8912179079011,-11.6114082454599,-19.042892190206,-15.0761792687747,-3.73467051199032,-25.2906076462721,33.4014439411533,41.8210814949914,39.4827980596718,2.86747874014918,-8.24988213732945,10.5431075338852,-16.6315180032423,-8.21921776014688,-32.3111595049709,-45.7862366480911,-48.2898274257873,-82.6264416503186,-129.278496149495,-85.439635615749,-96.299754951586,-55.921762273038,-104.817705846307,-77.8452914135171,-58.7039508275689,-8.88338564440937,-16.7028683952228,-5.26071775299653,-20.9167642058765,4.09170992355968,-66.8417816519,5.19041933674453,-11.5981719806146,-29.4029262808642,3.91700265316342,43.1128843297497,12.8785297398173,3.18570428555512,3.74573239282608,5.03469421115972,3.75000348669897,3.48402717669524,4.58168343894647,3.00488542788406,3.53536973436968,3.43301698483509,2.10006373925955
,63,-9.57570386379211,-32.8977691969915,-45.0487049747194,-54.3787728835239,-9.79441415595693,-13.9998409179354,-30.1249368005101,-35.1533055138948,-20.4913691005788,35.1913614255666,27.1858954652885,5.83799616269789,-25.0606835479709,-40.7457479760901,-55.292068430253,-17.9481206160788,-0.0213328751060544,49.7114192844313,-19.4679219591119,-6.46440093843398,34.7588929797794,61.9944470872197,99.1994799377078,-19.4729797275807,-0.508784346415496,36.1457497860051,7.91322004969106,-15.4520062119066,10.0159285052896,30.8794586172166,1.67873817062559,2.51477472605666,31.54392279942,5.77797919201112,13.8728091064629,9.78140647520627,3.19336233596437,13.994855108564,-8.15805570752013,56.142769692507,51.9594367409151,52.1005299580912,21.6045337451696,9.16939645308776,29.9315001766422,0.36701574411336,12.6960349180945,-10.1127901593431,-41.9637302913163,-45.1162841237422,-78.6079875058733,-119.613270078886,-78.5869983008838,-81.0925906955886,-37.1881007165912,-91.0218955930059,-73.2057820192522,-47.8364129093916,-7.72725546846868,-8.09872947925783,-3.8986688630294,3.3276237949342,4.16715416189186,-46.7321377648045,5.08519491098127,13.4897788151743,-5.11227247430338,3.91073203234356,62.3295292043654,25.3662778477493,2.79207408455096,3.88330747958048,4.78837766772278,3.55887329818927,3.33481348825438,4.70361905873813,2.71655556052917,2.81209495315721,3.14662108593802,2.16470374412552
,63.5,18.3973900471167,13.7996230881231,5.62913632855043,-6.49675207842461,35.4071354248508,32.6864139906947,16.3725309518716,13.3745192481288,31.351257069527,76.0730715180139,73.8329833692696,5.13586973574121,19.3101579450581,6.12191634421879,-9.21065212977692,25.0474857192944,44.7127250274277,90.3789799242513,24.298308763457,46.5323964738614,83.54434533476,103.987185047677,128.186424554042,46.584876371167,40.1596483977708,76.9222449300635,50.5065341963686,19.8636779474089,51.7593396998527,74.8167159306881,45.6947403065055,48.3298157785262,77.2807374026959,48.3723654097923,64.9725547678966,66.7790080770264,39.9866142427377,50.0072725961556,27.8373319425621,103.06951856837,73.7270200667099,76.6131573290294,58.5841227642904,45.2894901246955,68.6247723620329,35.3002969250781,55.2466884158878,35.6090578563153,-34.4733672278378,-37.6396175777279,-68.5527121007565,-95.3850227372923,-61.9333589130495,-45.6165138859167,1.44352020656311,-58.9064972134511,-60.1358843895116,-24.2908982248764,-8.52091963257681,8.33883187347828,-1.65486057865127,52.3464014029912,3.92761432597155,-1.50582907284115,4.57003982782544,64.8584533115979,46.1210944817617,3.76905079584242,100.96578929787,50.8029739715382,2.38180609893806,3.2963528595169,4.26449658133123,3.18063195216899,3.37426712359695,4.24397073482197,2.65384220530814,1.89863959116371,2.88947495796725,2.33558367230853
,64,40.618601643549,51.4069932291893,46.146992569848,32.0446644947438,69.888721562405,67.3127813765529,51.6632893660792,51.2918038344408,69.7848786861871,101.877967791764,102.008550920938,4.07054678901915,54.5144585393991,46.0590546886531,30.2236328994784,61.0246469075573,80.8471323513045,118.587963141448,60.8357192451863,87.810137155207,118.299053536117,132.21218862763,146.077846860497,95.3047912108714,73.6745087031354,110.163581214265,86.2221788891181,49.487564004281,84.9955228789427,108.030488533436,79.8220093378941,85.5256353106724,109.700524661199,79.932921843892,103.746334945289,110.035827611727,70.0039440594271,79.2334083024236,58.9878563856851,144.5959040353,93.9796583804707,95.8319997615524,87.8344794999923,76.113387069126,98.2741769400318,64.8723659646173,88.5933951133929,72.9523114127874,-26.2000399901337,-26.7070143849503,-53.8575772865368,-65.9662938874906,-42.8318816197448,-9.21447277587686,32.1085862072771,-24.8484317963816,-42.3090504700522,-2.96579672710891,-11.5315753776274,20.1548666143231,0.270197089911676,91.7482443733645,4.16191249376675,45.1489697409604,4.74456392853932,102.123179097393,89.3044624631286,3.80570420276104,133.649443450432,73.5095202048742,2.12054587414394,3.01481818662506,4.01805589582494,3.21457928268723,3.36205867425343,3.27619623727088,2.70593268397528,2.2352903860488,2.91523033853827,2.44666799276945
,64.5,59.8499486784992,81.9195751713773,78.8631510858086,64.9883995205423,97.6172907594357,95.5611588517741,80.1500963006749,81.373628540035,100.203270014145,119.454957017783,120.091792398387,3.162202304282,86.2478297092191,84.8383603060799,68.3367025849129,93.7022605544792,112.452955165391,140.565382357152,93.9142689313483,122.537747623301,144.975488310943,152.85170457149,158.758678550229,132.102824324109,103.609597207986,140.049718683039,118.388040412841,77.4917360784771,113.607119134163,136.575319115021,109.250350264975,117.860636356812,135.722589043919,106.909584318455,134.714412684557,143.689567168145,97.8082557003434,105.142373733168,88.42178626951,191.562042828537,116.773243687761,115.410451685486,113.207317808921,104.004949558497,123.230086575006,92.9482757500155,116.302844999899,103.903545606901,-13.0853631904613,-6.69691355861664,-32.1317897813624,-29.6887092536506,-19.6669312310373,28.6580533564888,59.1833899218407,11.9687076231467,-16.966584607992,18.2036733171365,-9.54939098748059,30.9343400263081,2.09995481945316,125.343278876567,3.97951125278041,97.4940965442572,4.84823116982079,130.555736620933,127.163660026538,4.17096305526729,167.406562640234,98.4637125047999,1.84416921236772,3.39595128139121,3.56284636613162,3.15456198942218,3.01524834998651,3.05893598677585,2.7766991226722,2.45159519315587,3.11171725675791,2.49582807674096
