,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,F08,SYBR,t22f3.3,Unkn,N2 treated,3367.76886646227,,Unknown,Unassigned,False
,F09,SYBR,t22f3.3,Unkn,N2 treated,3360.72138610838,,Unknown,Unassigned,False
,F10,SYBR,t22f3.3,Unkn,FAU5 treated,3918.75019332906,,Unknown,Unassigned,False
,F11,SYBR,t22f3.3,Unkn,FAU5 treated,3973.75105427854,,Unknown,Unassigned,False
,F12,SYBR,t22f3.3,Unkn,FAU5 treated,3474.04116701987,,Unknown,Unassigned,False
,G01,SYBR,tba-1,NRT,N2,893.749868631461,,NRT,Unassigned,False
,G02,SYBR,oac-7,NRT,N2,1077.0661821292,,NRT,Unassigned,False
,G03,SYBR,ceh-74,NRT,N2,1764.4013590436,,NRT,Unassigned,False
,G04,SYBR,zip-2,NRT,N2,2172.24546657144,,NRT,Unassigned,False
,G05,SYBR,ugt-31,NRT,N2,-0.808196249846787,,NRT,Unassigned,False
,G06,SYBR,t22f3.3,NRT,N2,4894.79106680975,,NRT,Unassigned,False
,G07,SYBR,tba-1,NRT,N2 treated,4743.03319315913,,NRT,Unassigned,False
,G08,SYBR,oac-7,NRT,N2 treated,1667.80164003034,,NRT,Unassigned,False
,G09,SYBR,ceh-74,NRT,N2 treated,4526.06338823003,,NRT,Unassigned,False
,G10,SYBR,zip-2,NRT,N2 treated,884.510093509878,,NRT,Unassigned,False
,G11,SYBR,ugt-31,NRT,N2 treated,906.408298367984,,NRT,Unassigned,False
,G12,SYBR,t22f3.3,NRT,N2 treated,241.689843273122,,NRT,Unassigned,False
,H01,SYBR,tba-1,NRT,FAU5,1200.01817144532,,NRT,Unassigned,False
,H02,SYBR,oac-7,NRT,FAU5,1354.23927985737,,NRT,Unassigned,False
,H03,SYBR,ceh-74,NRT,FAU5,194.309263900481,,NRT,Unassigned,False
,H04,SYBR,zip-2,NRT,FAU5,851.535814948837,,NRT,Unassigned,False
,H05,SYBR,ugt-31,NRT,FAU5,31.6686657954461,,NRT,Unassigned,False
,H06,SYBR,t22f3.3,NRT,FAU5,4667.74773648597,,NRT,Unassigned,False
,H07,SYBR,tba-1,NRT,FAU5 treated,4333.93771679905,,NRT,Unassigned,False
,H08,SYBR,oac-7,NRT,FAU5 treated,2361.64320580661,,NRT,Unassigned,False
,H09,SYBR,ceh-74,NRT,FAU5 treated,89.5339472183574,,NRT,Unassigned,False
,H10,SYBR,zip-2,NRT,FAU5 treated,-1.68191277411497,,NRT,Unassigned,False
,H11,SYBR,ugt-31,NRT,FAU5 treated,381.685805443651,,NRT,Unassigned,False
,H12,SYBR,t22f3.3,NRT,FAU5 treated,349.668394859168,,NRT,Unassigned,False
