gene,cosmid,contrast,qpcr_log2fc,qpcr_sem,qpcr_n_runs,qpcr_pvalue,qpcr_padj_BH,rnaseq_log2fc,rnaseq_padj,rnaseq_baseMean,direction_agrees
ceh-74,ZC376.4,geno_trt,0.0859617237427672,,1,,,2.77587428707601,1.98983112855262e-12,464.293019329684,True
fbxa-128,Y47D3A.2,geno_trt,1.0332363890404337,,1,,,-0.0834878133246973,0.78191088753822,490.5917447855,False
fbxa-79,Y82E9BL.13,geno_trt,0.737545522643367,0.26302389750263455,2,0.2180808832068311,0.42594493636053377,-1.78934663057485,0.0003095129950031,548.848310235663,False
nhr-58,R11G11.2,geno_trt,0.5529557327311407,0.34294277955560953,2,0.3534129116369733,0.5138278521643502,0.0711546396024051,0.818200459108005,1530.94728319697,True
oac-7,C31A11.7,geno_trt,0.42684329721128494,0.3838938185796557,5,0.3285111407894919,0.5138278521643502,0.141711840515199,0.603530666568606,542.541401947848,True
t22f3.11,T22F3.11,geno_trt,-0.3857989646380572,0.3925706981044421,4,0.39819661262003064,0.5226330540637902,-0.047360408500389,0.859534957999488,230.490517210569,True
ugt-29,Y49C4A.8,geno_trt,0.4401538779879681,0.49350597415922126,3,0.46656115366298545,0.5763402486425114,0.0412679127835839,0.89212869921243,8723.69924062121,True
ugt-31,Y39G10AR.6,geno_trt,0.6455146755571984,0.24399318334147743,6,0.04566601410906574,0.22013435131410578,0.278353393454549,0.150185762984381,3744.41050264088,True
zip-2,K02F3.4,geno_trt,1.483995111139799,,1,,,-0.235162009557926,0.362838615673634,30871.0264427309,False
ceh-74,ZC376.4,geno_unt,4.210174661803779,1.0383067125095762,3,0.055780420490206,0.22013435131410578,3.43703324473549,3.77783362038009e-17,464.293019329684,True
cest-34,K11G9.1,geno_unt,3.7919886382245367,,1,,,2.55077218357257,7.466207329081119e-18,368.422454659335,True
daf-16,R13H8.1,geno_unt,-3.583858845012827,,1,,,-0.0378761465721605,0.95110361082702,4764.86957076004,True
fbxa-128,Y47D3A.2,geno_unt,5.014195627815137,3.2602135655447,2,0.3670198944031073,0.5138278521643502,2.42981205227954,5.25173604405797e-16,490.5917447855,True
fbxa-79,Y82E9BL.13,geno_unt,1.1762063586172102,0.15674422294100773,2,0.08434063194424982,0.2530218958327494,-1.55039511417754,0.0115918579133341,548.848310235663,False
nhr-58,R11G11.2,geno_unt,-0.06867382017236864,0.3960367657466657,2,0.8906953444864729,0.8906953444864728,1.5822937570399,2.99708060306437e-05,1530.94728319697,False
oac-7,C31A11.7,geno_unt,1.412937408216589,0.5928115389647894,6,0.06289552894688737,0.22013435131410578,2.35841847412941,6.60192926277722e-16,542.541401947848,True
pals-24,C29F9.4,geno_unt,1.6652546502901648,,1,,,2.22046619939506,3.41812248996125e-28,1562.51903701675,True
t22f3.11,T22F3.11,geno_unt,-2.7812453197314877,1.8035563290502108,5,0.19791359862367836,0.42594493636053377,-0.938071456341458,0.10492206269207,230.490517210569,True
ugt-29,Y49C4A.8,geno_unt,1.5408110629509606,0.8830195298570659,3,0.2231140142840891,0.42594493636053377,2.64909368085429,5.334824376296e-92,8723.69924062121,True
ugt-31,Y39G10AR.6,geno_unt,0.6142786511583619,1.161334678508212,6,0.6194764466723991,0.722722521117799,3.15742490459598,6.72633837847327e-82,3744.41050264088,True
zip-2,K02F3.4,geno_unt,0.11699207429325649,0.7515700499310798,3,0.8905900235364865,0.8906953444864728,0.493606262748984,0.153931435296612,30871.0264427309,True
ceh-74,ZC376.4,treat_N2,-2.202153514042965,,1,,,0.8234581206329,0.0521589895499765,464.293019329684,False
fbxa-128,Y47D3A.2,treat_N2,0.8795106962009669,,1,,,2.85215582853336,4.36064039084366e-23,490.5917447855,True
fbxa-79,Y82E9BL.13,treat_N2,1.7745923250810023,0.3866931610519018,2,0.1365877140077907,0.3585427492704506,2.08084948944037,9.7991794571298e-05,548.848310235663,True
nhr-58,R11G11.2,treat_N2,0.7653939336561812,1.2823890444353834,2,0.6574348219596711,0.7266384874291102,1.34697358208804,0.000105732588836,1530.94728319697,True
oac-7,C31A11.7,treat_N2,1.512084238803736,0.5466932463059809,5,0.05054427752523387,0.22013435131410578,2.94536857264231,1.23523289349706e-25,542.541401947848,True
t22f3.11,T22F3.11,treat_N2,-0.9986334211215309,0.8431163378026431,4,0.32152305712535756,0.5138278521643502,-2.67459018184239,0.000118666344926,230.490517210569,True
ugt-29,Y49C4A.8,treat_N2,3.6511163686173007,0.3306005236485502,3,0.008099427923531606,0.08504399319708186,3.60339348863036,4.46394485740661e-172,8723.69924062121,True
ugt-31,Y39G10AR.6,treat_N2,2.044776877095186,0.13038100312866696,6,1.9160690840623263e-05,0.0004023745076530885,2.29599460462333,6.85170529280902e-44,3744.41050264088,True
zip-2,K02F3.4,treat_N2,-0.0345970004076314,,1,,,1.51478514384702,2.11924959890249e-07,30871.0264427309,False
