,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,G09,SYBR,ceh-74,NRT,N2 treated,-1.53478143473585,,NRT,Unassigned,False
,G11,SYBR,ugt-31,NRT,N2 treated,987.713606176596,,NRT,Unassigned,False
,G12,SYBR,t22f3.3,NRT,N2 treated,536.346273037983,,NRT,Unassigned,False
,H01,SYBR,tba-1,NRT,FAU5,-3.17989463538297,,NRT,Unassigned,False
,H02,SYBR,oac-7,NRT,FAU5,-3.91023821666613,,NRT,Unassigned,False
,H03,SYBR,nhr-58,NRT,FAU5,38.0439641497434,,NRT,Unassigned,False
,H04,SYBR,ugt-31,NRT,FAU5,-3.75364096552303,,NRT,Unassigned,False
,H05,SYBR,t22f3.3,NRT,FAU5,-2.21515820094073,,NRT,Unassigned,False
,H07,SYBR,tba-1,NRT,FAU5 treated,-2.21021269500434,,NRT,Unassigned,False
,H08,SYBR,oac-7,NRT,FAU5 treated,-1.58094157824453,,NRT,Unassigned,False
,H09,SYBR,ceh-74,NRT,FAU5 treated,-1.37655191368376,,NRT,Unassigned,False
,H11,SYBR,ugt-31,NRT,FAU5 treated,-1.11260118061355,,NRT,Unassigned,False
,H12,SYBR,t22f3.3,NRT,FAU5 treated,0.248695227995995,,NRT,Unassigned,False
