,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-0.460277537696129,-1.39517789983029,-7.87053270439219,2.76987875813029,-10.7797734318078,1.36887010641067,-8.31046187683523,-20.2599016957465,-12.8763169814811,-3.7700360563249,-4.37567383917622,-17.8787255502943,-4.66284900105939,7.97473364579719,1.67906249115367,6.76077013673148,3.275000672239,1.21126395839292,-1.61063716160243,-1.97514752904544,2.84156696268519,1.43268172221133,-0.598884898090546,-12.6536813258954,2.58863661210171,5.4062866038521,5.72921167590766,4.06246674360273,2.6649549203762,2.59431030046653,9.25794279094771,7.25757174653745,12.3885570179764,-2.00869794743312,3.61436131808932,6.94854363177501,-5.73361900475129,-158.775173962738,-9.7739393854622,-4.79118309974865,-8.56724435602882,-3.61338844247121,-8.37787370565547,-8.44500919558095,-1.97149555812757,-0.441633553639804,4.435736922871,-5.57008313603228,-1.39439193645148,0.624823548842869,-2.29719336602966,4.71876793386855,-2.50259245347888,3.20427394151329,6.14877657904708,1.16660766608675,-0.505947805690084,5.828933459376,2.02130290470268,2.64524540209186,-3.58775060630069,3.32027238007231,-8.86973142533725,3.39508684684597,1.12079234518478,0.730030704442925,-0.477631572229711,1.24833470219392,-2.72212439926716,-0.453024598412412,2.53275643886354,1.96820674379887,1.928749666371,4.58115095346238,10.2883927571334,1.00390527101717,4.1913974947729,5.57595030075436,0.594024321012512,1.90286212053161,6.78589036757967,1.29030373973819,4.91943510940564,3.06513522880596,-9.6469492169781,0.313715635513745,-5.66208060975123,2.5135817862415,-2.59888811565907,-7.77419568361802,8.1828879659447,2.48035701656954,4.03711543460577,3.97666181472914,4.03499180198196,1.11224574311564
,2,3.62053679452674,8.02768934558617,-5.23007057669838,-0.259218383721418,-3.25462780406178,4.21426110726679,2.82476070350913,-2.57046382483486,0.902518246467025,1.91077249781983,2.12949111421449,-8.74864076934773,3.40131880319859,10.8286291183636,6.9328448134097,6.90057191727738,5.36245500008772,1.28664502593483,6.71222616486602,1.60133891280111,5.64764383001693,5.07344736282948,6.65592252576516,-0.292856064286752,9.88316422067101,6.29497857326805,6.66075954904227,6.44600604197922,6.41071829422481,6.6984128095969,6.98307923883158,7.96325928662054,6.67960679397038,2.9374609451047,3.1695352939646,8.2876896830353,-4.81430517475064,-136.286515617793,0.44754098280373,-1.57443168720738,-1.55733999394806,-0.467874441062577,-2.87327412682816,-3.97193135572979,-2.47036482119893,-1.92283550237153,1.35373162891074,-0.477709290210441,1.49723799308185,5.9758333187433,2.50427812425005,1.88930092200462,1.15036263693355,1.27325653994239,4.17703122136663,5.4971376741546,1.90405397673021,3.6735883381034,1.13175084696104,3.42038982481517,1.2830302618072,6.44269623031914,-4.96075650129296,4.22862828503639,5.8036028863994,0.757748923105737,4.93112299653785,1.47448807777391,7.54832517444675,-1.15129882206247,1.83126479041084,3.57670334648583,1.91706147978994,12.2507506529255,13.5641206176024,5.46781761793,6.16438060067867,8.73351812380224,4.75122037047322,5.06406077996962,2.99272810767525,4.83534125409051,6.80786701332136,3.56673537306733,-0.912594257220007,-0.489126860242322,0.926266333226977,-1.07006287316699,-0.941826234044584,-0.60177952965023,0.879955295273248,0.176374582193148,2.77276359013877,2.73239161056745,4.65282059380161,-0.0537727164355601
,3,4.80718764160838,2.3504501406419,4.92913798766995,5.17272970127442,3.12240846158693,1.08068601178866,0.745449406653279,1.91969645563222,1.76268878688779,7.2413540594207,4.33091918629589,-6.3287217045845,3.02466181654472,3.58172306267807,1.46911673710565,3.73360478966288,4.65692450204779,6.27542846566212,-0.462574592134843,3.41469619122154,4.17007299166426,3.60960313276883,6.75862461783663,2.09655122770346,8.41509786781307,6.29863407436324,6.71173726808502,3.61256310011049,5.49484160361635,3.18556700515683,6.22427381416719,5.49972825590476,6.9164551571489,6.67882806890702,5.03261477972183,4.84462500132486,0.568604530737048,-93.3309664328453,2.32331518855653,5.84272467381334,-0.358002403210321,1.27921728985075,0.988924405653961,1.06675455767436,-2.67170634226113,1.48537924359789,0.378438520021973,1.1889053705986,7.2389945323107,5.55846334496391,5.99797847247783,2.57897205276322,5.33500061810037,6.64733637946438,4.02728470055899,3.19645870661407,6.11213451326375,5.4422473349141,4.72786353198489,1.10604779892128,1.56669687067324,5.12109899640609,-2.70441412377977,3.01428846401404,6.1956956709837,2.69442968027988,3.09444480403317,3.5282645190191,2.21105142569695,0.680125074559328,2.71273512235712,2.71501989196395,3.07182319757339,3.19875009666202,2.77454652305005,4.93635141548702,1.55671259424207,5.19255629199097,3.35056247708144,2.28478331771748,1.42381555048678,0.278651976617311,2.41100991241137,3.95593667440971,1.29993230214768,2.41826456809804,1.68664161460129,0.0443418348527302,-0.482548741571009,-0.0217681039780473,1.01865662010005,3.30448842428996,2.9705964204004,5.14089316723584,0.581306541390859,2.70603619771464
,4,3.79253810417413,1.14317408099896,0.45692887574296,5.30124060158278,2.03147397477051,5.53780671455615,1.08849581937693,5.71134165180274,1.9056903535311,6.84490656605385,5.68612874899691,-1.93462583866403,5.12171951401479,6.33621255457319,3.69720052656658,6.33576024933518,1.48723274615668,2.54567493243349,3.93340161561537,3.61678161241707,3.59692960943494,3.78897145034034,1.78025193667509,4.55827644354531,7.52145264130058,4.47536189583434,-1.08163934429376,6.67058618785404,5.86288140295073,2.94375060507173,1.47164736209288,3.78949980676452,7.09958246157385,2.63307041348116,7.70840270479539,4.4481174728021,-1.57309035613707,-50.9751072917434,3.72477292572421,4.65572888881479,3.21235780345978,4.36228037008777,1.15291199125932,0.6162691390482,2.37870750233651,1.6886503759406,4.10571015622736,1.76488912645937,4.82451633831306,4.72963494875466,3.07093941450421,0.996888596403096,3.0366425178695,1.48290652967808,1.89294288300152,0.0925621448550373,4.87699817431758,3.56696063713389,-0.747914549025609,-1.6308449928124,5.05779793718148,2.70843786404748,-5.01854635957216,5.02473345077988,3.22634480464603,0.300000052248379,-3.01898308114596,-3.44717895162285,0.833227739679842,-3.88147034527628,-2.3040980681667,0.577997627602599,1.89806176445018,8.425218737249,6.57579649018999,1.76333114369936,3.11734443209934,3.68535250288869,1.6220468357119,5.2983071726394,3.6397275074346,2.21934349837102,3.2095720344978,6.30889574468256,1.79855420600916,-5.25475356266543,5.81587703389823,2.80994521281036,2.14130468486383,-2.98957964139618,1.65950547595412,-0.769449764783531,-1.08156625263291,-1.69694573582592,1.60586105268476,-0.00118329903807535
,5,-0.507426588718772,4.0288412836212,3.18233599024779,4.12774808374752,1.42756336888169,4.31944228680186,3.25713783724723,6.26662134754815,5.3745614125919,4.43716775498206,2.62733639520457,-0.000152477431583975,1.06252215976656,5.66233788247655,5.72619183871529,1.29309802048147,3.22522443259231,0.721513359996152,8.11565551598142,3.01637716611731,9.1774624702266,5.34194383490467,6.15137829461537,4.85868177931025,2.2987019797024,4.3307251684214,6.62524117159319,1.01994744593321,0.116078840872433,2.72021669029027,1.31400724310606,6.6573953284169,6.59796193596821,2.01116674396872,5.71350795830449,1.27682345618405,3.27056789243716,8.17824622148282,2.24269337389478,-1.83055305972175,-0.203691769194847,0.556698673085066,-0.923021941522165,-2.36877236247938,0.744498596481208,1.81946375993084,-0.183624866570426,1.1657255563814,3.72200453369442,4.09106089323222,5.12793257644853,0.781218434522998,1.96799277465834,1.7550089426004,0.534130597487547,3.87418479264124,0.397656487432414,1.80433614443746,4.7047069124892,1.15789282783817,6.46627532878938,5.45618539949555,0.850868542895569,-0.0865025972839248,-0.312371351187721,0.312440991097901,3.39129205546124,0.664528125746074,0.0312235748970124,3.97018301581147,1.10890142607786,1.44574003442904,3.26357710041839,3.96243088350639,5.33538881198592,3.11218675241298,2.52391670606585,3.55227266768952,1.18169321498226,1.6846758250399,0.945630676033034,2.81006006938833,4.97391693553664,1.28907221381951,0.204837585273253,2.53565155928527,2.62120161694975,0.655004635485966,0.996897906069535,3.10246379002911,1.879524614405,3.42178500500222,-1.45599959702304,2.50089659407513,2.0255090558685,0.860458166943317
,6,5.58855670148569,1.15050961803172,1.16197257786462,2.22502479211198,1.57928328935577,4.2065455059801,4.20213499224974,-0.791492195830415,3.65503266848782,3.72401597277758,4.50830520771706,1.22971689403403,0.846833720293944,0.998218833078226,-1.6865097330442,0.516436580927802,-1.69452374087632,1.74330018933051,2.67206920387389,2.06946072758592,-0.0949360238159898,1.56686003247341,1.07386469885296,5.94406740447084,0.421363998049401,3.16157864650222,2.83446789118261,4.23946285793909,5.21845199939798,2.49306998191742,2.10120686769415,5.08118509552969,4.2811789894854,5.1850478701358,-0.731189328636447,4.80246208041262,0.0566518642731353,11.373572572219,0.676233186378795,-0.0842091337408419,-0.186809618632651,2.01038927836498,0.70746266355718,0.0585845413884272,3.8946345783238,2.10846383715943,0.959017716734706,2.32553498093603,0.408817359293607,-2.56054860729182,3.017955054288,8.12217016487512,5.7563769796684,4.29018126005622,-0.217350108588107,1.25825298138261,2.35807221555024,3.21164620175796,1.94164874568196,2.50579036600993,-1.77484088319216,4.10307299779606,-1.79767208189196,0.673379006978848,0.569902479565371,2.39579829894501,0.127060521874228,3.80412295596989,-0.608858428991425,-1.09120220275736,3.22580813390505,2.30331718419848,0.980780715327455,2.11623412659219,1.00280581961488,4.28261191910724,0.795286797821973,2.37428837926564,-0.572830535862977,-0.0495474022986855,2.32773503174485,2.47979289273781,3.49742592272696,-0.550641230542624,-2.88309094715532,2.60137004633771,0.468423436567264,4.90394173182267,1.32029138591543,-0.389693100341901,3.54417087342972,-2.56009461190524,0.0609953271241466,0.0819927445800204,2.3232977195612,2.85816071114277
,7,1.13901891810792,3.71104484705529,4.85480913580795,2.46754637601362,1.76741524648014,2.61983915646942,0.159341459572261,3.2259195375791,2.20947850524044,3.2283576433515,3.18557877795683,-0.60744460064825,1.72443311698862,2.0312192694073,3.29317032661902,1.39274365192477,5.06875814001751,3.16097110745613,2.68292995278352,4.30127957589229,3.87586595826997,2.67938896227679,2.40050391619343,1.18962671803001,-1.52243287240799,4.59859708772046,2.61945058389028,0.210270541534555,-2.45046471928435,1.39218225842887,2.8592218960257,4.30109846070627,4.74876486007452,3.26839615251038,1.76393696376681,1.99496847718638,-0.300780778375611,47.053671060708,2.74450394427231,1.99050013098986,-0.163714245504707,-0.55279178558294,2.13959427968348,4.51576244443686,0.541402815088077,1.81541585057084,2.35081591898006,1.29959194435014,1.65702721645312,-0.84321242082342,-0.995240182873658,0.74928191695426,-1.46888534547816,4.5554808186771,2.43621284098481,3.41058225124016,-0.583206230009637,0.760351468150475,4.22275566085818,4.65157511785264,-1.16331396923351,3.33853685272288,5.51324849773619,2.81243490042561,0.234030535496458,3.10251158325718,-0.467059776146925,1.28020363071573,-2.20723048847549,0.575641598106813,-0.923188312366165,1.09902813955432,0.443727525952454,3.98442474902549,2.48759938151352,1.99117072479385,3.31584692267961,2.32137929879855,3.36329663553943,3.487794295198,3.36999537332531,0.951717797658148,-1.54908775602735,-2.7618857700636,0.166490026138945,1.49193996082522,1.11691763070348,2.34314900377967,1.75479039840002,1.06967825994116,-2.59040895955377,-1.70846543903554,-0.918352400186905,2.27988648849441,0.978325528170444,1.94395043277063
,8,2.83345214886231,3.47770596945884,-0.0014627182449658,0.608154909145924,1.50780076404226,1.59431452598346,4.3893018885924,1.76266957539247,2.41355940728727,-1.1300611360366,5.30060164921451,3.78740834828113,3.12257372924751,1.06185569128183,1.37373581189604,4.00956138537913,2.11589693430051,2.49207159527077,0.971342716989511,3.54552671203146,3.63135705067771,7.05060625860779,1.67712922284227,3.90954642188944,1.53386583446536,2.41177404516839,2.88807261756756,2.27700821805547,3.2711164973889,3.48582630901819,-0.703094941252857,1.73852723326809,2.48871157246867,3.6072373454881,0.838010533796478,2.09164430688998,2.02922232732453,42.9574794705613,-1.41537635999521,-1.84852716595606,0.095765759006099,-0.233259689995521,7.60435174696067,4.54591150994065,0.767520638301903,1.37048773764127,1.72599051677162,1.3684915845115,0.907087531389152,-1.65184865516858,2.86010150599623,3.85958001770541,2.12160539134948,-1.45253411881549,2.4851765160779,0.940215188431011,5.02066738014491,0.298228973026653,2.17666784519361,3.41242885773454,3.23910345593185,4.83318813524602,10.8016724570966,4.6320404211483,1.82845889922373,5.59791446622694,4.47817667574691,4.44742523483092,4.36119384939502,3.49840331940413,3.49110263866714,4.17659415496428,1.41280349499993,-1.31282554030304,2.21883778568781,-3.46334953570022,3.31367099435965,-1.127206627129,0.576035498165766,0.218153115566111,0.973923651633868,-1.02882752107462,1.86191543637142,1.63419013322664,-0.886678222713272,1.86684153954457,1.8819749707086,4.20733170742506,2.82715481726336,2.85167529056389,2.32789064766621,2.41098741782889,3.33996498263878,2.91372539844087,3.15784861963175,-0.592187143246065
,9,-5.15891612085761,0.795051603010961,1.54054230056909,-0.399022379649978,1.14485838581913,-2.31253236470229,3.06252088279871,-0.750959924404924,3.29570793247512,2.64969230015731,-3.38026424365353,6.16093178387609,2.27171522587651,-0.851476007193924,-0.804547567591726,0.0474287142205867,1.53751730613794,1.4425283743758,0.340280155827713,0.142933001781785,-2.21106870761969,-1.44175884657034,-1.82067327454615,0.196986045758422,-0.636373669996374,-2.49893269692257,-1.43202105437922,-1.70512771525318,-2.06255333838408,-0.674653542781471,-0.330550139668503,-1.92804648301626,-3.13814674333844,-3.61379048632489,-1.42023426463538,-0.948142964786257,0.263254864638839,47.0924099901617,0.581282861142881,1.03321761636653,4.61110667713547,-0.0783226837997972,5.32561968421123,1.92818042802719,7.34104463935682,3.57229914426534,3.55069532248353,-0.54038581720306,0.301512043633466,4.54098388070679,3.67063120817238,-0.255304382635131,1.40002280520093,2.14222204108546,1.29378153628704,2.60731892337162,-0.046057313858455,-2.58803612143993,1.89175194808195,0.404631105652243,-2.26300384362912,1.83984543563156,9.32223788637111,3.77452983499597,3.30812381020905,1.8987619946879,4.81804726646214,1.88484261664371,1.8132415189807,0.482947021469954,2.44103321310968,-0.635159114899579,-0.108984986087307,0.993800443951386,-0.152751124407132,3.69182941145573,1.41565207062695,0.664780263204193,2.65401964954299,1.41518434025602,-0.244571211062976,-0.381619323032737,-0.0555495990201962,1.9615710277094,6.25569014679968,4.52342139204802,2.03447584777496,-0.5982328282862,2.79270279274806,4.03160967579606,0.364797921960871,-1.48885047212843,3.65423070546512,1.46383183011176,-1.43783214869882,0.552041992801605
,10,0.933888474597097,-2.55105691232484,-0.49134161190932,-0.773502780047238,0.411929638003585,0.0762789085006261,-0.857817993602112,0.658280563776771,2.12756779719348,-2.197681987539,-1.99756353026442,3.902368712922,-1.76421816341644,0.6756900456935,0.943386368101528,-0.877516081639442,0.732175498389552,-5.76632619282464,-1.41964354791344,-2.7448862287888,2.36340977363398,-2.35072784285921,2.16150855846126,-1.42934488456467,-0.446567302842595,-0.653946816661573,2.10906615183239,-3.94530669572941,-4.26176679870423,-0.405962336189077,-1.57268547685544,1.85039964602674,-5.56776457968408,-2.0119738357389,-2.2589933643153,-1.44670288597354,3.06013419259762,55.5231354664297,1.33254772854616,2.15152557475858,5.57982164252508,3.87591095968446,3.662607032712,3.53922625600444,2.84115930057851,3.34043285241569,3.8768327785865,2.63724722764255,0.37905198624685,4.41656971738576,-1.0639684958378,0.983429367851841,-1.53405421397383,1.45219776703834,-1.03948194650729,0.196240868574023,-2.13031796364112,0.949139219227618,0.387164671001301,0.88255709732266,-1.27585043593945,-3.93757321317071,5.40592430255674,0.320567051876878,0.110233803992287,-0.334700030596196,-3.08044270687788,-1.14799616041819,-0.525526316282594,2.07729683190109,-0.692302634315183,4.65870445553219,-0.696326015738578,-3.07037721699135,-1.94921777366744,-5.09800557973813,-1.45175132654913,-0.919264764413128,-1.17824312934226,-1.02351643005932,0.288417011572164,-1.57877732401812,2.9743706853842,0.284914676113658,1.45019960574291,-0.69155958347983,-3.28019202410587,1.95264037848119,-1.47379423218854,0.306264261784236,-0.566885959160572,1.09169963144222,1.15598082815404,0.466973916986717,2.98316422844528,2.77874394409264
