,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,G02,SYBR,ugt-29,Unkn,RB2060,77,1322.98689244246,62.5,81.5,
,G03,SYBR,ugt-29,Unkn,RB2060,77,1301.77176382532,62.5,82,
,G04,SYBR,ugt-29,Unkn,RB2060 treated,77,1272.91789590229,62.5,83,
,G05,SYBR,ugt-29,Unkn,RB2060 treated,77,1372.42222865859,62.5,82,
,G06,SYBR,ugt-29,Unkn,RB2060 treated,77,1356.6078793949,62.5,82,
,G07,SYBR,ugt-29,NRT,FAU5,None,None,None,None,
,G08,SYBR,ugt-29,NRT,FAU5 treated,None,None,None,None,
,G09,SYBR,ugt-29,NRT,RB2060,None,None,None,None,
,G10,SYBR,ugt-29,NRT,RB2060 treated,None,None,None,None,
,G11,SYBR,ugt-29,NRT,N2,None,None,None,None,
,G12,SYBR,ugt-29,NRT,N2 treated,None,None,None,None,
,H01,SYBR,ugt-31,Unkn,RB2060,76.5,721.95580205106,62.5,81.5,
,H02,SYBR,ugt-31,Unkn,RB2060,77.5,720.047762915532,62.5,83,
,H03,SYBR,ugt-31,Unkn,RB2060,77.5,708.060640812718,62.5,83.5,
,H04,SYBR,ugt-31,Unkn,RB2060 treated,77.5,713.046602367858,62.5,82.5,
,H05,SYBR,ugt-31,Unkn,RB2060 treated,77.5,688.000746184139,62.5,82.5,
,H06,SYBR,ugt-31,Unkn,RB2060 treated,77.5,657.843831497083,62.5,84,
,H07,SYBR,ugt-31,NRT,FAU5,None,None,None,None,
,H08,SYBR,ugt-31,NRT,FAU5 treated,None,None,None,None,
,H09,SYBR,ugt-31,NRT,RB2060,None,None,None,None,
,H10,SYBR,ugt-31,NRT,RB2060 treated,None,None,None,None,
,H11,SYBR,ugt-31,NRT,N2,None,None,None,None,
,H12,SYBR,ugt-31,NRT,N2 treated,None,None,None,None,
