"Gene","lfc_treat_N2","lfc_treat_RB","lfc_geno_unt","lfc_geno_trt","lfc_gxe","padj_treat_N2","padj_treat_RB","padj_geno_unt","padj_geno_trt","padj_gxe","sig_treat","sig_geno","sig_inter","category","mean_geno_lfc","mean_treat_lfc","ENTREZ"
"W04C9.1",-0.61227636272777,-0.20986915059662,-0.359303857877669,0.0431033542534809,0.40240721213115,0.0150508848888714,0.477748196752298,0.857184579211869,0.924041228865273,0.616837055243405,TRUE,FALSE,FALSE,"Treatment only",-0.158100251812094,-0.411072756662195,171639
"Y47G6A.14",0.685015022836841,0.149992734676114,0.433927042367462,-0.101095245793265,-0.535022288160727,0.00596531409483075,0.640377877288775,0.632766394040767,0.812032353084598,0.493030753093737,TRUE,FALSE,FALSE,"Treatment only",0.166415898287098,0.417503878756478,189994
"Y47G6A.10",-0.245482643116473,-0.489833621120748,0.0408724096900946,-0.20347856831418,-0.244350978004275,0.306720777731494,0.0142635318939098,0.999661050265385,0.4775309960424,0.724195898597618,TRUE,FALSE,FALSE,"Treatment only",-0.0813030793120428,-0.36765813211861,171915
"D1037.3",0.98925155148002,1.43208857247218,-0.626212999354326,-0.18337597836217,0.442837020992156,2.85126258272888e-08,1.88335942829026e-16,0.0147462090657362,0.519810303315149,0.464712934295806,TRUE,TRUE,FALSE,"Interaction",-0.404794488858248,1.2106700619761,171934
"E01A2.6",1.12667305346935,0.852816078289186,0.129722190427432,-0.144134784752728,-0.27385697518016,1.16878272726023e-22,8.55714171442222e-13,0.999661050265385,0.447191074767977,0.504048512614183,TRUE,FALSE,FALSE,"Treatment only",-0.00720629716264794,0.989744565879266,171997
"R12E2.13",0.370397352087778,0.856400006074434,-0.0316606139452848,0.45434204004137,0.486002653986655,0.245639608229938,0.00101601164790212,0.999661050265385,0.209111457408871,0.580985817319231,TRUE,FALSE,FALSE,"Treatment only",0.211340713048043,0.613398679081106,172010
"F55A12.7",0.637682656870317,0.567432110156333,0.0382068700589946,-0.0320436766549899,-0.0702505467139844,8.6803176894448e-05,0.000721603359867325,0.999661050265385,0.918784912800637,0.926861023916423,TRUE,FALSE,FALSE,"Treatment only",0.00308159670200235,0.602557383513325,172180
"F33D11.8",1.53815648260251,2.08652381019037,-0.0609809696962561,0.48738635789161,0.548367327587866,7.4951539399807e-05,3.4771858553209e-08,0.999661050265385,0.402246903921512,0.703385149800363,TRUE,FALSE,FALSE,"Treatment only",0.213202694097677,1.81234014639644,185230
"C48E7.11",-0.657527218977023,-0.0947694406559733,-0.185868685035255,0.376889093285794,0.562757778321049,0.0208348436953876,0.80408963035938,0.999661050265385,0.342487647306969,0.515239171725809,TRUE,FALSE,FALSE,"Treatment only",0.0955102041252694,-0.376148329816498,172319
"C55B7.4",0.0375279397059728,0.0313199563390557,-0.760918496753736,-0.767126480120653,-0.00620798336691714,0.936888336827947,0.934544828164153,0.0366614017017976,0.0173635587961593,0.99810523462939,FALSE,TRUE,FALSE,"Genotype only",-0.764022488437194,0.0344239480225142,172358
"D2005.5",-0.558290821564837,-0.973356460097894,-0.216718635837233,-0.63178427437029,-0.415065638533057,0.103488114814728,0.00148816252044541,0.999661050265385,0.127115236121685,0.703385149800363,TRUE,FALSE,FALSE,"Treatment only",-0.424251455103761,-0.765823640831366,172546
"R05D11.1",1.89833815239857,1.30356561604479,-0.0556045553350877,-0.650377091688869,-0.594772536353781,1.35290904253231e-06,0.00187278594483155,0.999661050265385,0.267012755189251,0.686737692716039,TRUE,FALSE,FALSE,"Treatment only",-0.352990823511978,1.60095188422168,187612
"F25H5.4",-0.171651459854393,0.43025686788116,0.155362418265874,0.757270746001427,0.601908327735553,0.659712829939961,0.130898213011823,0.999661050265385,0.0236340228897199,0.462381986670775,FALSE,TRUE,FALSE,"Genotype only",0.45631658213365,0.129302704013383,172743
"C04F12.3",1.64974347241584,1.62623594368433,-0.121652163538579,-0.145159692270085,-0.0235075287315057,1.33641847363602e-19,1.19956935579335e-18,0.999661050265385,0.646356558766821,0.980504416176902,TRUE,FALSE,FALSE,"Treatment only",-0.133405927904332,1.63798970805008,172817
"F26E4.12",0.368227995496804,0.733095762382026,0.0406859184983217,0.405553685383544,0.364867766885222,0.256674598908335,0.00699938084493979,0.999661050265385,0.280472991110088,0.701597199187476,TRUE,FALSE,FALSE,"Treatment only",0.223119801940933,0.550661878939415,184981
"F25H2.1",3.10872642696301,2.50417711558262,0.207773775970651,-0.396775535409741,-0.604549311380392,2.21325980639788e-39,2.06943486195071e-25,0.999661050265385,0.295774797017595,0.477552827408107,TRUE,FALSE,FALSE,"Treatment only",-0.0945008797195451,2.80645177127281,172936
"C47B2.6",-0.451017722766937,-0.371584771154593,-0.169173469799916,-0.0897405181875722,0.0794329516123439,0.0183014989227805,0.0614916670121078,0.999661050265385,0.773131496561046,0.922718850482308,TRUE,FALSE,FALSE,"Treatment only",-0.129456993993744,-0.411301246960765,173171
"C47B2.8",-0.645706598182674,-0.551574612402877,-0.244235656074713,-0.150103670294916,0.0941319857797968,0.0108974366400577,0.0384684064202744,0.999661050265385,0.715537860763288,0.932784396476245,TRUE,FALSE,FALSE,"Treatment only",-0.197169663184815,-0.598640605292775,353387
"T04D3.4",0.777254629524858,0.0726687136828322,0.433226715745657,-0.271359200096369,-0.704585915842025,0.0187073008037055,0.876334392216078,0.922021041254541,0.57555548567885,0.483086050827923,TRUE,FALSE,FALSE,"Treatment only",0.080933757824644,0.424961671603845,173202
"C37A5.3",2.00395966634295,2.38214373449526,0.0593110250812763,0.437495093233587,0.37818406815231,2.59668196572118e-05,4.29394786891591e-07,0.999661050265385,0.555236137562394,0.847533860476449,TRUE,FALSE,FALSE,"Treatment only",0.248403059157432,2.1930517004191,13182956
"C37A5.2",1.31847993579973,1.56016300184971,0.311174333051415,0.552857399101402,0.241683066049986,0.0081515391280949,0.00128160130734487,0.999661050265385,0.435100332245494,0.905829335085443,TRUE,FALSE,FALSE,"Treatment only",0.432015866076409,1.43932146882472,259409
"T07H3.3",-1.32128022923026,-3.62049906448841,-1.96584739183323,-4.26506622709139,-2.29921883525815,0.00639189802531367,6.50899589323532e-07,0.000389895871471087,NA,0.173857503133149,TRUE,TRUE,FALSE,"Interaction",-3.11545680946231,-2.47088964685934,188249
"F43C11.7",-1.22356096299733,-1.00265244081551,-0.114790086768306,0.106118435413515,0.220908522181821,5.60869034147278e-08,2.06137606473159e-05,0.999661050265385,0.798190693930292,0.811057379465787,TRUE,FALSE,FALSE,"Treatment only",-0.0043358256773957,-1.11310670190642,173591
"F43C11.3",-2.71541883007434,-1.489785211296,-0.726988968757462,0.498644650020878,1.22563361877834,1.43031927155792e-05,0.034412785261523,0.999661050265385,0.635263794120133,0.58116902784502,TRUE,FALSE,FALSE,"Treatment only",-0.114172159368292,-2.10260202068517,179872
"ZK430.2",-0.517387418830202,0.0397815129825378,-0.337186406519191,0.219982525293549,0.55716893181274,0.00942765328175193,0.891406613918522,0.649239896595522,0.443685342802257,0.339024495817475,TRUE,FALSE,FALSE,"Treatment only",-0.058601940612821,-0.238802952923832,173777
"F41C3.8",1.39470543022844,0.800678183453015,0.174821606887185,-0.419205639888241,-0.594027246775427,1.27000215452188e-12,0.000193921812512813,0.999661050265385,0.16189073780691,0.37068090143776,TRUE,FALSE,FALSE,"Treatment only",-0.122192016500528,1.09769180684073,173814
"F11G11.3",0.900825608785252,1.21413208899832,0.200360568931445,0.513667049144516,0.31330648021307,0.00521929211173585,8.60730239619762e-05,0.999661050265385,0.247123411903098,0.791292415648427,TRUE,FALSE,FALSE,"Treatment only",0.35701380903798,1.05747884889179,173841
"F11G11.2",2.14617058088499,2.80780007918208,-0.0859060985397548,0.575723399757343,0.661629498297097,5.11150915573326e-14,2.12499416231377e-23,0.999661050265385,0.181262787047934,0.508850554376207,TRUE,FALSE,FALSE,"Treatment only",0.244908650608794,2.47698533003353,173842
