"gene_symbol","lfc_treat_N2","padj_treat_N2","lfc_treat_RB","padj_treat_RB","lfc_geno_unt","padj_geno_unt","lfc_geno_trt","padj_geno_trt","lfc_gxe","padj_gxe","effect_class","n_TFs","TF_list","target_common_name"
"H41C03.3",-0.779212158279769,0.105468746679635,-1.42591288437528,0.00113406161446748,0.255603862720592,0.385593086507624,0.0201138314473392,0.956746403150278,-0.18111346719637,0.45639411154181,"Treatment",15,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;sta-1;unc-62;zip-2",NA
"K02F3.4",1.51478514384702,2.11924959890249e-07,0.198163223240162,0.481732106468063,0.493606262748984,0.153931435296612,-0.235162009557926,0.362838615673634,-1.09754678122421,0.00648227396415758,"Treatment",15,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;sta-1;unc-62;zip-2","zip-2"
"K01G5.9",0.949269828947942,1.06067960347081e-12,1.00100235989344,2.57794308936571e-14,-0.18400487899357,0.447364891855258,-0.106671438507783,0.643502653099882,0.052818445721721,0.843488250310006,"Treatment",15,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;sta-1;unc-62;zip-2","tasp-1"
"D1025.8",0.334142504291271,0.440854774588042,0.296608067758092,0.32210771106409,-1.46726407568497,0.000107661432224188,-1.15223951317026,0.00068958712587875,0.0274285748005237,0.918887028066218,"Genotype",15,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;sta-1;unc-62;zip-2","nspc-17"
"ZK131.8",0.776180621717412,0.0139213130390794,1.0420242335929,0.000351644351424382,-0.952387858319063,0.0065270927864645,-0.368652224662521,0.140385641259151,0.155975795002349,0.594277962607691,"Treatment",14,"blmp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;sta-1;unc-62;zip-2","his-1;his-5;his-10;his-14;his-18;his-26;his-28;his-31;his-37;his-38;his-46;his-50;his-56;his-60;his-64;his-67"
"ZK131.4",0.742246297814087,0.0219698638225767,1.2168338907553,4.65260487697992e-05,-1.07716271031637,0.00248273030131416,-0.292712770610322,0.248877009085016,0.274116275703628,0.385819674641234,"Additive",14,"blmp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;sta-1;unc-62;zip-2","his-1;his-5;his-10;his-14;his-18;his-26;his-28;his-31;his-37;his-38;his-46;his-50;his-56;his-60;his-64;his-67"
"K06C4.10",-0.0966515955284902,0.889544533704202,-0.0122862139754502,0.980556286134414,-2.06792057008525,0.00987088715884559,-0.716603392516331,0.0282413124934979,0.0161262026283639,0.939849760291384,"Genotype",14,"blmp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;sta-1;unc-62;zip-2","his-1;his-5;his-10;his-14;his-18;his-26;his-28;his-31;his-37;his-38;his-46;his-50;his-56;his-60;his-64;his-67"
"T08E11.7",1.80102227688561,3.72209493372112e-10,0.809624723306827,0.00319673664764975,0.868948336449564,0.00972064593768216,0.0465375603402338,0.89956089026234,-0.667810464490201,0.0999130214164788,"Treatment",14,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62;zip-2","fbxa-3"
"R11G11.2",1.34697358208804,0.000105732588836046,-0.0131436182966281,0.974074967958217,1.5822937570399,2.99708060306437e-05,0.0711546396024051,0.818200459108005,-1.33768984745049,0.007371412314931,"GxE",14,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62;zip-2","nhr-58"
"F59B1.8",2.53188842113584,5.18581634862294e-28,1.94490854260848,1.95844734594675e-17,0.751866434688695,0.00618572426016908,0.143010610961319,0.593253396787013,-0.388992269775874,0.2417586888917,"Treatment",14,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62;zip-2",NA
"K09D9.1",5.41924389553062,1.79755056440341e-53,3.25224416764848,7.60515451601463e-21,1.61857827387467,4.92882955713051e-05,-0.100174480578241,0.727006496364098,-1.94148135951229,2.76865541464498e-05,"GxE",14,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62;zip-2",NA
"F17C11.26",1.58032728344636,0.000456241617677413,1.04968989970218,0.0074593196149906,-0.10428133543014,0.782871499490529,-0.190127110700105,0.451376092311554,-0.0810089458850718,0.758605184735341,"Treatment",14,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62;zip-2",NA
"F17C11.17",1.4859148347847,9.57571555386456e-07,1.43865653033721,8.8660854983617e-07,-0.232342647554018,0.513705760656534,-0.168008774330339,0.530942105349133,0.00768958842980313,0.982164707703257,"Treatment",14,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62;zip-2","zip-9"
"C06B3.6",3.98136030952537,3.34792656433331e-61,3.25995273502567,9.96593614977718e-42,0.040545039815008,0.955923874918123,-0.333761929496316,0.153937724049973,-0.509465783663253,0.151680122153328,"Treatment",14,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62;zip-2",NA
"C06B3.7",5.73143718843485,5.49390458395826e-117,3.46457342116963,3.97945987829308e-45,1.15597036626229,5.36181996760573e-05,-0.71348000216933,0.00468049080479289,-2.15677839238281,2.81319218768114e-12,"GxE",14,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62;zip-2",NA
"F13A7.11",4.43089705119073,4.34412616501381e-48,2.70714608809238,3.46372154165931e-19,0.775845726658222,0.033412448070173,-0.314911226146191,0.214443395073548,-1.53510892991425,0.000145087576996624,"Treatment",14,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62;zip-2",NA
"T04G9.5",-1.25494567414221,2.93505892500926e-12,-0.356433423161035,0.0534678066375599,-0.896837067927353,5.29321534546893e-06,-0.0572515414206743,0.85629507807919,0.777895765037941,0.00214123919072008,"Treatment",14,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;sta-1;unc-62","trap-2"
"D1005.3",3.23761061708514,1.76939227843124e-06,1.48446009699017,0.00666235334649958,0.0196103141910022,0.966840157211317,-0.165736834614623,0.451907062009303,-0.179606251610274,0.362246361237255,"Treatment",14,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62;zip-2","cebp-1"
"C28G1.2",1.49639601694327,0.00856881807448026,0.316133242092827,0.401106095509689,0.0335969059562002,0.94509071316713,-0.141641977943234,0.556497444861752,-0.183240659833763,0.401518092485243,"Treatment",14,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62;zip-2",NA
"K09A9.1",2.87037878283725,9.77265530203502e-15,1.46278855882071,4.03812810951557e-05,0.104802885392715,0.808068535659013,-0.382049356291711,0.145484889534221,-0.955173869100864,0.0642795643484803,"Treatment",14,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62;zip-2","nipi-3"
"F59F4.2",-0.53788628159998,0.0910151041140239,0.231341133157747,0.394700724369178,-1.06052516112879,0.000947522546451147,-0.0834308001873383,0.78191088753822,0.755083295268963,0.0606935683758868,"Genotype",14,"blmp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;sta-1;unc-62;zip-2","serp-1.1"
"Y34D9A.6",3.01930181288508,3.11967922586296e-20,3.50668348143331,2.39476969336873e-27,-0.208946470233298,0.558147676265894,0.013630474161223,0.973734288254651,0.224510915174436,0.454694232059512,"Treatment",13,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62","glrx-10"
"F48A11.5",1.5051856402756,1.14663298771983e-05,0.955448452108144,0.00268803607262484,-0.0402791567679635,0.951906311100726,-0.184815447959156,0.479730792744282,-0.166419725750556,0.567519380301453,"Treatment",13,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62","ubxn-3"
"C32D5.9",0.914014419775998,6.8701886534108e-05,1.06629102447131,1.15983180300226e-06,-0.00736353257552556,0.994212863162042,0.0844678867705208,0.773527262234895,0.112954828922591,0.704638097300108,"Treatment",13,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62","lgg-1"
