,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,G1,G2,G3,G4,G5,G7,G8,G9,G11,G12,H1,H2,H3,H4,H5,H7,H8,H9,H11,H12
,1,9.98865675971592,14.2506588291421,17.5927256461327,12.6026048697317,7.727109140023,-7.87103635655239,19.5267284915144,5.93719690202033,10.417851382048,9.6652426027008,8.52252275071214,1.10621196930833,5.34966233658224,16.6332640626883,12.7331529640801,9.08685312371426,8.18145319171435,8.43753657484149,9.15681460715814,10.4186473453883,3.80262327701394,-1.20134015140684,4.93381906268814,-5.49379122732489,4.23271552554752,12.577336389731,11.333632873469,4.39498147869017,8.75022056222679,6.97520256795133,10.8347710909989,6.8216858886467,7.02988366902036,6.60081674830235,-1.6521472985205,-7.91949749223886,4.32033673027718,13.7098409639557,10.174819299616,7.835519126299,8.43036122597732,9.51833959138776,8.07204028462684,1.17926368172311,-0.720940985590914,3.24410221522066,8.04983314699439,-3.82949787492407,0.661630433735809,5.96711791521057,3.02730437019363,-0.276872649387315,2.00127330557825,-1.00345424613806,-0.312601818062376,-2.69434232863523,-3.81018110854484,4.23033497090182,9.80985607526691,0.922285370970258,-10.3354078238376,-3.55446774458505,-4.28704944562696,-5.33375097320777,-1.51586892168871,-6.72579297032053,-3.70608424020793,-6.15360825960352,-3.43233394891195,-6.69494271445637,-5.85597012351946,-1.71464367055341,-6.8014391749025,-6.28825633116912,-2.46473103890639,-2.53446072640736,-6.20935106820389,-9.64813005067754,-6.37147447088637,-6.62365525191308
,2,10.3259782130472,9.0941887157619,8.7923619727294,10.9375727427064,1.53134029524654,1.248030175449,9.17011814421267,13.0857840846097,3.66575877609375,8.92781013941885,4.34530369762251,6.80752260292593,7.7625226251921,9.19168550055656,6.4295791033669,4.89518908578702,9.89914725066092,7.29729068233519,6.31824862929398,6.25059383732469,5.10806749596986,8.75640467777566,6.52578041491915,3.32277266438132,4.99405887241846,12.2787935842803,5.6472776121459,4.59490069361982,3.32120352233733,1.30903950291577,4.33216896745444,3.89091663773252,8.36373994147516,2.80724288144665,4.70531210605486,-3.98814594441728,5.38010914191727,7.66043116795208,2.8294070594643,7.40171313939345,3.05616689717999,6.80882570446101,3.55227564007191,0.177047077970201,1.44876799876647,0.397394781256025,3.71096245731223,2.22738682138106,6.0786917049104,5.33667662572498,7.53165649210996,5.92103730722874,3.28599282017422,4.64565751005148,4.85767663843899,2.40625815878184,3.27708624728757,2.25719001408515,9.82267648496691,5.80013223972128,-6.81729381564764,-1.86084658603522,-5.90839318380813,0.834520562626494,-2.32368567864023,-1.42634393646631,-1.51442990913529,-1.89614495878868,-5.8695503693375,-4.62372803560311,-4.85822345448469,-3.6555029025667,-0.778334630123027,-7.3968943421828,-1.0615827609995,-5.11549293769303,-5.95881426093365,-7.55525661947513,-5.04762759301957,-6.83367443807219
,3,6.22009433762423,4.12490029811397,4.82563912972364,2.09511062556521,3.64928385285066,7.44284447627251,3.85974491735897,9.62359740739157,3.3262787565036,5.62858674426388,5.68671726755474,-3.50949606726226,4.99014150505354,8.49484303736563,5.34181597637507,2.90148204919115,11.3777155942958,6.39326563451004,4.60027404679886,6.0150384895469,4.03903391393533,5.11135593040217,6.37026497555007,4.47535462619817,2.94393016349341,8.47155137806385,1.76182528127856,4.65575989552917,7.36936450689518,6.03217398495008,6.3347902494329,3.55431429142118,4.88552572983008,4.0223152230069,4.94106616053296,5.21651409330252,4.01488382678053,3.30603896331831,5.86148112256342,4.88236222483692,3.14517053137661,1.83885100817452,2.2848228636426,0.481257633043697,-0.143824024557489,1.20932154489901,1.84420578986419,1.06193757932806,0.837393429533222,1.2598154702232,4.84435017162377,3.31119681380414,6.85335283000131,2.56056924154018,5.93126080952652,5.89714148839676,8.22245798162839,2.813971964747,3.7877685561707,2.12195915132043,-2.26087474344195,-2.12660137407238,-2.49687747860526,-4.2406886659237,-1.4081390430074,-2.61996821159391,-2.88021749868494,-5.10273944173014,-1.39296612015869,-5.14523395797733,-5.32287799232836,-6.48212122209543,-6.30466534274956,-5.98573021521452,-4.88425815618666,-5.94087773747015,-7.00365617995703,-6.3829264660676,-4.12095496828033,-3.26075472619459
,4,1.79418123335745,3.34852101218075,5.56644160191308,3.95919071341223,3.4317799185369,8.07667073889661,6.84679118611166,6.42068830846938,8.18248521957094,5.95920337185089,3.59349185416932,8.64320557092287,3.16758013791105,4.84212950384017,5.58869346246365,4.12371463276804,5.42062499715666,3.45128456958628,3.08815053757553,4.51420763682745,2.97376018917612,5.78737418299897,2.94306678742532,5.74508015979927,6.04755565171217,2.08222074367222,2.94196803763589,3.71200492390608,4.30258823709437,2.65815924059234,3.85550205280015,4.82148197312017,3.13648119455593,5.0155583603273,7.41634203348212,5.48286573667747,-0.301370744595715,3.80266651646525,-0.511278633237453,0.949119959175277,0.628398681552881,1.51654642352423,3.079897280571,2.07607172195549,3.54531788831537,4.80736254862222,4.40775032506099,3.25888915786527,3.33033110824454,-1.02155300771301,2.62061588082543,3.9853866237695,1.46862224781489,2.79288981640957,5.22744568542021,0.731433438532349,1.20119495279368,-1.8501970401644,3.57801555345168,0.954057429441946,-3.42912155846079,-7.06926905663795,1.08818762914643,-1.85914282924887,-2.87659072280485,-3.82318628143821,-3.12001799397785,-1.8367741519628,-2.64381213483239,-2.65446354113237,-3.9070440134974,-4.85546780649474,-5.36429104223862,-7.01311383451457,-2.01280127879681,-4.78241476002722,0.623902551977608,-3.071578754847,-3.9016760317536,-0.1278514913447
,5,3.32322072893976,6.24587374414887,0.740459946832289,3.71591745819023,4.04468685530901,3.50201896157114,3.63445060322692,2.63863510172951,-3.24335885920573,1.82102349731667,3.2509842708846,5.22518573740399,2.44151177929643,3.35066048711542,4.85131034175583,0.778791178829579,1.21481954380715,2.38753514870541,3.79277213663181,3.89327286422076,5.06476064880735,-0.385676178006634,3.58075449060334,2.44998126204246,1.03886177173035,0.0462547684751371,5.12587249904527,3.89718262783435,2.30351446961822,4.11656974594325,5.40850837303788,4.73652597417095,2.6940330305556,4.69102533688829,3.92965017202232,4.04878531421173,1.42702129176269,1.35736615760288,2.33952518482602,4.12425330906535,2.3043165907352,3.59408890201667,-0.392153089195745,0.733003085448217,1.62120074103677,3.28570454880264,7.51400573880665,2.30335238808129,-1.46986481453223,-0.878078813430875,-0.252343077238947,5.73246421835984,0.810968709416102,1.23161195203738,0.186940671715092,3.33854950395698,4.32972229596407,4.35158075339086,0.0763985785929435,2.86769035765337,-5.70226425149349,-3.58072106538157,-6.8701278860849,-5.10602695734497,-1.96307985034582,-0.54830370988202,-6.04729737576145,-6.061055114792,-0.688013417242473,-1.23139054169087,-4.51639502216176,-5.6075968334394,-1.81996549989253,-2.77969636841999,-3.75344052252376,-5.26306136179483,-2.07523071834521,-1.82988725571795,-2.60365192486324,-1.60233404871087
,6,1.76316516236602,0.0990082752819035,1.93158619605356,2.54900967303456,-2.72842597647696,1.65625529053386,3.4277309258573,5.76028398386097,-6.0022156276782,2.49366885995551,1.35238361152324,3.40427939117581,1.77747746874411,8.17023205977421,-0.433474886739532,0.21469343257786,-0.307181735888662,1.16120811796372,3.61005914579391,4.22953819240047,-1.29221259814085,2.11292626641398,5.35280949104981,4.64465304963096,1.98361618232047,0.696593470107018,4.95839415116461,2.54672682201544,-0.257517214252402,3.11555674463807,2.27309168485681,2.4548497241708,4.18513326873335,0.201051972820096,2.22181971000327,4.82181702569278,1.32363523463619,0.355874895027682,6.71178939504625,1.71768943303186,4.15050411623497,4.85420675124442,-0.956096214804347,0.316018509300193,3.68117194684237,2.88444638554483,3.8968440036324,1.87839327101847,0.644122518926906,2.12464151890208,0.265132035710394,-0.0155244987768128,3.10175476433051,4.68497010094143,-0.708804125192273,0.452950676929049,-1.59260491219948,3.99656295857085,4.30781621862525,-0.564840310060845,-1.32232632165142,-0.380144684407696,-1.10357421241906,-0.250544715336218,-1.50643283037834,-5.22501598243616,-3.7553578364591,-3.53778339877817,-5.47493022713843,-0.944440063584352,-4.56000351561306,1.01956616529424,-3.31655770782345,-2.69168797261136,-3.55681388968105,-0.219763411035274,-0.691703085760309,-0.530742727501092,-0.982860895174781,-3.46499126580193
,7,-1.48746686501954,0.18123139796262,-0.302300770114925,-0.592410290313182,-5.48336247353518,0.199706937272367,-1.81658657866001,1.24974846257328,7.62789086956445,0.320267946442073,-3.93296957236271,0.401125755500289,-1.73504677167102,3.84976502660948,1.40072716310988,2.18529908649862,1.22528686162741,0.89279962155706,2.67655231216895,-1.61546272678743,2.96982401623836,-2.45618882031067,2.22845217231998,-3.64449003215486,1.73797412767226,2.4644428436377,1.58472742920867,-1.25880544369238,-0.25022240177168,-2.41732108312181,-0.358393279257143,1.97044990075028,1.62779576228331,0.953567421482603,0.554949831405793,-1.70566190311365,-0.405828220607873,3.5008148632046,0.81034346426577,1.88541789349119,3.45714321952846,1.71023178174846,1.28424866611522,3.90320526963205,1.04356804588724,4.23710953631462,-0.731890518725777,1.82155583606027,0.413171897107532,-1.06076099740812,-1.38976134551513,1.91457413924627,-0.280276892883194,2.07924915070089,-0.243720306417799,1.04082090313204,1.20407363242293,-0.261183817633537,3.13967349553104,-1.70871909359721,-3.46001461548349,2.31195034889151,2.25020857734762,-0.825931567941097,-1.696969008412,-1.05380985104648,-3.50108266236384,1.24004240380145,-2.72196353625395,-1.03283339191739,1.53565333482447,2.40071772481451,0.961856493340292,-2.38206632665515,-3.30026785562723,0.955358607366179,-0.537045650974051,-0.590131094485969,-0.533584439970582,-1.82486306151668
,8,0.879847362448345,2.19570691533772,0.902732154498153,-1.3032792040276,5.59162557525906,4.24013413570947,1.7348232333029,-2.95772350737798,8.521915802075,-3.13203493674337,0.118586248266183,1.41955188135489,-0.0495274146401243,2.37628253816138,1.0984745416863,-1.18829517833274,3.24471264163958,-3.09405855806972,-2.33360834249197,3.88148004064487,2.40222310412537,-5.35013554082207,0.131212838512965,-2.48804155727976,-3.17600560208348,-1.99946742072825,2.44995108758894,0.44784790129097,1.9817220053651,0.146948867033188,-1.03665549014158,1.07791294213848,-0.321284824596205,-0.928399421188715,3.61773843794435,-1.3841210407727,3.07715889204155,1.99481739691191,1.44996549356256,2.09549889154459,2.74100976517411,-0.316731185674598,3.96443038813868,0.944247665191597,-2.08877829161838,-0.206228177497906,-1.61454093689736,-1.11746843062701,2.28740270561411,-0.900167736892854,-0.64513127503551,-0.0709013459791095,-1.56553861261227,-2.73607354483647,0.0235657570597141,0.156253760837899,0.55862546166054,0.772508753167585,1.13428529720704,0.156121468744004,-0.05943528583839,-2.49451375893659,-1.82526412783182,-0.119378121145019,-2.04497079698604,-2.15787886446606,-0.149726020278194,-4.13623296033029,-4.84502890221847,-1.2763468729413,1.55426506323329,0.677901789409134,-2.07155264810581,-1.08179860393784,2.94781749232379,-1.01495481369238,-1.04068168803633,0.423931660158814,-1.84299048017419,-0.611586580668245
,9,-3.45491053551132,-3.43102616118813,-0.716745067497868,2.8320224011045,1.9167541381762,-3.0789219192784,-4.95157964192549,-3.30788593642046,3.2911127180555,-1.60000554737371,-3.94081636516148,-1.76026511847886,0.975914069632836,-1.01069528354492,1.38156372938192,2.32378788245796,1.58731617807825,1.13171080318534,-3.48695644940426,-3.63769643834985,0.662547600671132,-5.64763588528604,-1.26881950511415,1.8051171181578,-0.430792477442083,-0.0304475504135553,1.80313164047402,-1.10466901443078,1.23394950914053,0.687682878829946,-0.955474063403472,1.26643102727394,0.51713706109922,0.756580660175587,-1.79775740286777,-0.61863210131196,1.57659935714946,-1.72350767387479,0.233105378213168,-0.823908902929816,-0.261541563447281,-0.885607213218009,3.82622268535852,0.619105142377975,2.8750751169855,0.673876441295761,-3.81511978844446,0.432129846037697,3.29440670056738,2.25447521866181,2.53520614907757,-1.14250750850806,2.33590617918571,1.32021552004517,2.81077796747695,1.85949166533646,-3.15658740123081,-0.117682077278459,-0.847629610259901,2.70185818525397,0.529180609800733,2.10363991926624,1.31886770670508,1.73646937464127,1.337341111147,1.33520097761539,-0.801009248164974,0.705912031774005,-0.703897983182742,-2.61616127045318,1.03916962526364,-2.69200904932404,-1.40407938952831,1.4265971944028,0.473621656077285,0.726893332263444,-5.23659395533468,-1.15147003599259,-0.0148342180591499,-2.19222250071243
,10,-5.71228833354235,-4.55079391576692,-5.26242229960644,-2.73274745088247,0.422257143393381,-2.15092109865964,-0.109018055636625,-5.96360580432292,0.507474298146462,-2.08645844340481,0.13739859665975,-3.34617262289748,4.69281432640264,-3.87367347837881,-2.65755213733655,1.79005937544798,1.00257445755096,-0.940841926217217,-0.458577512138618,-5.73615422171861,2.10244294542417,4.93887072787493,-1.91920407920588,4.30426961386547,0.673809757662639,0.859698548999859,0.160747701620949,-1.06037988333946,-4.85887792818266,-0.748552508868215,1.55472046418708,-0.593024884855822,2.12173736087834,-1.4977140981905,-0.0543454461449073,-1.62967280135399,0.455423986043115,0.161226755634289,3.06001011909257,-0.905757936360715,-0.197050808714721,1.49313937300985,1.43517550371871,-0.601309881314592,2.58930964995261,-0.386910744984107,2.73003344116341,-1.01980789807476,1.26312795126341,3.30191977381446,1.40367047746213,1.486260317291,1.31698410842773,1.43295858956753,1.24043520729265,0.357799365591745,1.44740152769145,0.299505997903452,-0.662356684699716,3.23960472596355,2.50336503702101,-0.560017059878192,-0.188410434749585,-2.07709398303086,-0.0783060570342968,-0.128018183470886,-1.8930982581046,0.258786681750735,0.09839682358961,0.0421273735105387,1.68118457766241,5.20444455770848,4.47543750111117,3.24650611210154,0.859977241837441,3.84407696330072,1.79264179367055,-0.335398649953731,-2.88333610996688,0.462715907012807
