,Temperature,A2,A3,A4,A5,A6,A7,A8,A9,B2,B3,B4,B5,B6,B7,B8,B9,C2,C3,C4,C5,C6,C7,C8,C9,D2,D3,D4,D5,D6,D7,D8,D9,E2,E3,E4,E5,E6,E7,E8,E9,F2,F3,F4,F5,F6,F7,F8,F9
,60,-5.642779905,-5.19747621220017,-2.8691226690072,8.5901845229597,-3.01546655145421,-2.51087699157767,-0.552603529211069,-31.7746938678974,8.4161823136119,5.01215086847469,1.95133763397371,7.28930534762139,8.46731467724294,6.62122632166211,6.22019069003227,22.6155070641768,16.0969233552869,-1.20213848210938,3.75893970918219,5.77977606763443,9.01232863711471,9.10480451583499,10.3015677373965,26.9160110731359,3.93005092935579,1.02912354298348,1.34638533868781,4.3106191395425,5.56060502763023,4.66118726120646,5.66456793745658,3.10117823584943,14.4444265499901,7.42507889132412,6.32987802244907,7.79201817323519,8.14061667606597,8.75896681274185,9.8329173093523,20.5206732301276,0.200305826822387,8.28985682335997,11.860579350941,10.3473174527063,7.53620336104802,6.10290190064234,6.67898875479841,-0.310943298152552
,60.5,-12.2260231274997,-11.2611984597685,-6.21643244951611,18.6120664664134,-6.53351086148439,-5.44023348175097,-1.19730764662438,-68.8451700471117,18.2350616794923,10.8596602150283,4.22789820694538,15.7934949198445,18.3458484673597,14.3459903636012,13.4770798284032,49.0002653057179,34.8766672697877,-2.60463337790338,8.14436936989682,12.5228481465413,19.5267120470839,19.7270764509776,22.3200634310251,58.3180239917926,8.5151103469376,2.22976767646514,2.91716823382319,9.33967480234196,12.047977559865,10.0992390659475,12.2732305311559,6.71921951100717,31.2962575249798,16.0876709312001,13.714735715304,16.8827060420101,17.6380027981419,18.977761427609,21.3046541702636,44.4614586652763,0.433995958115304,17.9613564506142,25.6979219270393,22.4191878141962,16.3284406156037,13.2229541180576,14.471142302063,-0.673710479330794
,61,-11.2855598099998,-10.3949524244016,-5.73824533801405,17.180369045921,-6.03093310290944,-5.02175398315296,-1.10520705842248,-63.5493877357935,16.8323646272237,10.024301736951,3.90267526794946,14.578610695241,16.9346293544859,13.2424526433242,12.4403813800661,45.2310141283551,32.1938467105749,-2.40427696421852,7.51787941836801,11.5595521352707,18.0246572742312,18.2096090316734,20.6031354747925,53.8320221462702,7.86010185871123,2.05824708596867,2.69277067737528,8.62123827908579,11.1212100552609,9.32237452241304,11.3291358749141,6.20235647169932,28.8888530999814,14.8501577826462,12.6597560448943,15.5840363464727,16.28123335213,17.5179336254861,19.6658346187048,41.041346460255,0.400611653644489,16.5797136467216,23.7211587018824,20.6946349054119,15.0724067220956,12.205803801283,13.3579775095974,-0.62188659630533
,61.5,-11.2855598099925,-10.3949524243952,-5.73824533801564,17.180369045908,-6.03093310291843,-5.02175398315796,-1.10520705843408,-63.5493877357956,16.8323646272167,10.0243017369392,3.90267526794651,14.5786106952487,16.9346293544977,13.2424526433365,12.4403813800645,45.2310141283516,32.1938467105731,-2.40427696422307,7.51787941836528,11.5595521352598,18.0246572742249,18.2096090316782,20.6031354747774,53.8320221462679,7.86010185871055,2.05824708596776,2.69277067739256,8.62123827910068,11.1212100552609,9.32237452240486,11.3291358749145,6.20235647169591,28.8888530999883,14.8501577826514,12.6597560449031,15.5840363464754,16.2812333521325,17.5179336254944,19.6658346187171,41.0413464602514,0.400611653638634,16.5797136467224,23.7211587018913,20.694634905411,15.0724067220991,12.2058038012948,13.3579775095837,-0.621886596307206
,62,-11.2855598100507,-10.394952424442,-5.73824533800189,17.1803690460015,-6.03093310284874,-5.02175398312306,-1.10520705834131,-63.5493877357894,16.832364627269,10.0243017370281,3.90267526795628,14.5786106952005,16.9346293543981,13.2424526432383,12.4403813800775,45.2310141283672,32.1938467105815,-2.40427696418669,7.51787941836733,11.559552135343,18.0246572742649,18.2096090316252,20.603135474887,53.8320221462945,7.86010185871697,2.0582470859689,2.69277067725432,8.62123827897949,11.1212100552589,9.32237452247023,11.3291358749088,6.20235647172223,28.8888530999244,14.8501577826189,12.6597560448461,15.5840363464536,16.2812333521186,17.5179336254218,19.6658346186219,41.0413464602773,0.40061165368644,16.5797136467098,23.7211587018195,20.6946349054234,15.0724067220792,12.2058038012105,13.3579775096878,-0.6218865962922
,62.5,-11.8389709568448,-10.7840742913919,-6.1580202678565,16.5684165684324,-6.4490220071707,-5.34011607785851,-1.43909171380653,-65.033679576502,16.4355941709985,9.52234384499479,3.43645256650484,14.2111353455991,16.5725630036206,12.846970194418,12.0122581463947,44.1904193137145,31.5962497168875,-2.80147122757376,7.05728031258423,11.1834109320455,17.671782900856,17.8403468437721,20.1804194941751,53.1261057385914,7.77970448343291,1.94138832777071,2.55739785355388,8.47235779167363,10.9054755691138,9.15175181880579,11.1094731791954,6.14189959504824,29.1956074614714,14.549946842794,12.3434392900522,15.1772384099818,15.9775265827469,17.1947843752447,19.2980902135647,40.4550392538231,0.416662186381984,16.3214922897604,23.4638598597968,20.4008646357386,14.4318137888195,11.5196656059608,12.5982006472418,-0.609720666115095
,63,-8.411843156739,-8.46943596230278,-3.51671357469525,20.3102209879542,-3.81227748279514,-3.47593298281913,0.610717839908489,-56.6191392047335,18.5818325609694,12.7169750785945,6.32719932825785,16.5465334251448,18.8875392973926,15.3713717666956,14.7063671763135,50.8156538188355,35.5685821479392,-0.245081474181006,10.0340706491511,13.5745152040902,19.8586105373693,20.1868753488882,22.9104016466752,58.0123733320775,8.32920320489853,2.67952564113421,3.41701070222803,9.40376708186875,12.2572177367009,10.1339256372286,12.4529016470923,6.50873110251268,27.6735403462708,16.469017693692,14.3381608676405,17.7436455693812,17.8957404133884,19.1908955645893,21.6174761201612,44.1122298335995,0.274520364365401,17.9611020987587,25.068619308249,22.2705609201558,18.5510702527556,15.9409761647346,17.3976953446573,-0.711527275684034
,63.5,-1.82966719660703,-3.18800005909065,1.26514857068935,28.0382127356887,0.889043374885659,1.08438460987713,4.73675872138938,-35.1329751406765,24.6121829286008,18.1903308299654,11.8199687476913,20.5245317928841,22.798786164539,19.6504210613864,19.5403877148985,62.2779921166884,41.334453129333,3.85266627751912,14.7521423347966,17.6890111615792,24.1631063710693,24.2403412377978,27.248002380092,63.63478022655,9.01534824867127,3.97797672941681,4.87187936229464,11.182166168824,14.7790543592948,12.6616055849413,15.1643639701606,7.28815990301905,21.7283231669321,19.7270670018295,17.9719053137833,22.3613707441502,21.2626284063408,23.1290789723538,25.7939891970384,51.0000861378098,0.375332608866358,20.8002795007616,28.0504632851712,25.4502587165235,25.2500917432621,23.1146618919718,26.00097107229,-0.634206377896476
,64,3.16603853081619,1.14678889504398,4.44632961731156,33.3863730781956,4.0734003397879,4.6101621168782,7.80737295417089,-7.39301135745291,34.7502246001433,21.518856159744,16.2400410853727,23.3338556308793,24.9374113854235,22.2100135969984,22.9422718398087,68.5136706362842,41.728133476297,6.51432892687421,17.4819377069657,20.3216034439561,26.7339911191532,26.8574907008142,29.8454757202651,61.9127142455955,8.79510549181242,4.84477660711684,5.98955127194847,12.0668688730939,16.3371135093361,14.929420107934,17.571655351437,7.91496972409374,13.7265054096516,21.4184349322543,19.8732495996792,25.1844949077797,23.7953903867132,25.8142120102553,28.3936360592479,55.690409942275,0.559305340610081,22.6236126789394,30.4377847448815,27.621147389402,29.3682664537372,27.092821702782,31.0303955997229,-0.809260062214491
,64.5,8.49775610709207,4.76490164925303,6.67607867065715,37.1218250918794,6.83520232298906,7.40532274647956,10.1761337891085,31.0559162903744,53.6151687084704,25.1492397248185,20.8814179751316,26.4829723185126,26.9391856728112,24.1408392601529,26.2431314457613,73.1785880294703,39.110317660984,9.54368999323378,20.1357612810268,22.5992268915193,28.1842881088794,28.4981654097289,32.1466905298419,55.6606427611957,8.63537751772952,6.13151889196865,7.43875881780161,12.2428911820838,16.862068818017,16.4375681114639,18.8267166682198,7.93787989501374,9.07637183183374,22.8783774062904,21.276481750419,26.972201259194,25.6700950056731,27.8242478639812,29.9925632039015,59.0784714577392,0.508319712135062,24.1074097723845,32.0623316426642,29.4050364521235,32.3477524819054,29.3496450566066,34.5966437827835,-1.26922211807391
