,Well,Fluor,Target,Content,Sample,Cq,SQ
,H03,SYBR,ceh-74,NRT,FAU5,NaN,NaN
,H04,SYBR,zip-2,NRT,FAU5,39.6533225373536,NaN
,H05,SYBR,ugt-31,NRT,FAU5,NaN,NaN
,H06,SYBR,t22f3.3,NRT,FAU5,32.2106192152746,NaN
,H07,SYBR,tba-1,NRT,FAU5 treated,33.7873620998494,NaN
,H08,SYBR,oac-7,NRT,FAU5 treated,37.2271822731608,NaN
,H09,SYBR,ceh-74,NRT,FAU5 treated,NaN,NaN
,H10,SYBR,zip-2,NRT,FAU5 treated,NaN,NaN
,H11,SYBR,ugt-31,NRT,FAU5 treated,NaN,NaN
,H12,SYBR,t22f3.3,NRT,FAU5 treated,NaN,NaN
