,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,1.47258472234762,-5.5577229514347,-5.2256902910699,-5.08540127996321,-2.26846159080333,-2.25116388746301,-5.12261165988775,-1.73258893273896,-4.59136061211939,-8.03804626593455,2.40612523907839,-8.06777626906478,4.00999288109915,1.07919606185033,6.72204998681309,0.424923892131574,-0.264277126016623,-1.18464484947299,7.98607097279455,-3.89023603578835,0.864874207646608,-3.31287672328062,-6.91630271545273,-15.5006698890302,-0.638035199998285,7.94040878475198,8.94047860928731,5.34659672580983,1.52278139456575,4.48109915713167,2.61362454512982,2.9109532638563,-0.231095017630196,4.65339707384055,-0.213049523978043,-0.178090759062343,1.54347928585139,-4.9586666280029,0.43807815525679,3.17434823113263,1.36590673924775,-4.7073376478188,-2.53107131854085,-7.62705780993656,-3.87288573471869,-1.34359319439454,-0.646625843324273,-12.2603547215444,5.22000547136804,-0.468933690202903,1.12553187867979,7.35637902904045,2.45715524504794,7.22902292331219,0.120254844749979,0.894623166181646,2.67696646570494,10.2567355793594,3.59989014091343,4.8111906692302,-6.20635813668696,-2.98091829773239,-2.54462463142818,-38.2233314492587,-2.68443378040729,-5.23561958827759,0.766461548360894,-3.17991835180192,4.17647549131425,-3.76010302841223,2.73993135594446,-4.55903074978733,-1.08752288649248,-0.343704586050535,0.24246969937758,0.417989678912363,-4.62691510891182,-4.41651843165801,-3.40902679260944,-3.96382753764829,-2.65922144413025,-0.145030243766541,-0.523259465863248,0.221471549685248,-2.18789349836788,-0.811894574680991,0.457622314731907,2.11663063147353,-1.31079064252526,-1.33822644804513,-5.17169402592526,-1.48099458850947,-0.817721436369538,-4.98655658221651,0.577786311680029,-3.69939337809683
,2,8.9678940584181,5.0458173355978,4.26150442618564,2.69821228680394,3.41592370268654,4.31943023499571,3.45540054743833,2.93661919851456,2.00493673777055,-2.88415672566089,5.3827088636408,-0.805162690482575,8.80767385333002,7.17233055270526,11.378022138173,4.70441659702647,6.25298892651972,4.07098796750233,8.0722557088543,-0.500786508181591,7.65463861054241,2.84521850241163,2.65694500578866,4.01830467466925,2.98176004795732,6.82659847111108,9.3089780900882,4.44029860920546,4.68689025601498,4.5649300436362,3.91872760267825,0.201953061700806,2.45029599157942,7.51095609187087,1.46478786386615,4.46395743152061,4.68122661653433,-2.83933359865659,2.88629957632384,3.91376743414367,1.58495760997539,-2.45972951563363,-1.30607339511926,-2.17963611661162,-2.52204670965739,1.26167880698222,-1.07865113090156,1.93812978067672,4.85523664173024,-0.17848704522612,0.997501312524946,9.2664289712452,6.03253054825745,6.56588582687073,3.66719460781178,0.827518057635189,4.61408720145073,5.21458903170742,5.47548050276146,5.39793086491636,-2.10714981067895,0.880250354461168,3.70000050317867,-22.5619941267605,4.02537151439446,0.408162997497129,4.99465552730999,-4.32635957446655,4.78043273583262,-1.81700036029406,3.2046403335562,3.97186525784673,2.553479039173,-1.76408506174812,-1.22157861867754,0.322712781556675,0.187286799631693,-1.46216882657473,1.13251972536818,0.879614719000074,1.05309021197809,4.2866242973264,0.305971740820041,0.203500926865217,-3.7918131940578,-2.85691453060645,-2.77883998605648,-2.14209360055702,-0.310963420125972,0.536561916896517,0.92681096288652,-1.7347314959602,2.42324206467629,-0.894785448326729,0.951631862578324,-0.877161001229524
,3,7.6821949542109,3.05837018836019,3.03609058233769,7.20357771602949,3.07069880666677,5.49050251693689,5.50058875098057,1.50791914391175,3.93986225749404,1.5298616422142,2.14394300692084,0.00461468962112122,9.7682267383716,11.2571353172643,11.5569433767264,9.2347534030423,7.89695600616051,7.58755127001905,9.36837060817015,6.68675128155519,6.39364439239353,2.84790360884972,1.48123714939402,2.6050158821804,4.41683352507789,2.4084726566216,1.58201568089225,2.41996582610363,3.85136700961903,5.06766220093732,1.90098717986712,2.39861190353531,-0.107247482738785,2.81099183564675,6.3834694405914,3.57434702302317,2.49865813085808,-0.14781916504262,3.39752770186624,5.49596595695584,4.03859218937441,4.08854047568275,4.36134738736428,1.92605543803711,1.46284189641756,1.07724094598552,1.53869436219884,1.39446168918403,4.96205340583265,0.86700265839454,0.908020181348093,8.37769765932671,6.61577622597179,6.48158266665723,3.86639345302092,1.45868595177672,2.96069053638848,4.71557805841849,5.59982777368896,3.82694796199303,-1.14212446804231,-1.27517489795855,3.73756018769882,-18.8617063395777,4.84762337170059,1.52494429757689,2.61794232690045,1.35517805533527,5.3619978783131,-0.272685156043735,2.65624120797065,5.54046084037827,2.32792223002025,-0.0977871246627728,-3.88621260979062,-0.522163061483298,-0.202698853797756,0.675461822816033,-3.23938640609003,1.37199780259834,-0.662786590842643,-4.30490109503853,0.700901367183178,-1.28435866101017,-2.67691637496182,-0.764024553629952,-3.55991463482724,-0.582581753970771,0.142842754401954,0.0530003413336999,0.440559087570364,-0.643295974225111,1.23654743091765,-1.5741177426803,-1.47005874373735,-3.9330674705011
,4,9.14853797400883,4.13525749116616,4.64823784971668,3.26208268479922,5.27900224645373,6.01061303788993,3.56486637492026,1.02943619494317,-2.177779060783,3.12599538263248,2.86423945952811,-0.776095796864865,9.27133365727877,10.671519463704,8.51272765415388,3.21993363135653,2.6683604325226,7.66558741535482,5.39880913148818,5.91525430678621,5.26558366438121,6.22876642790516,7.39231846903704,6.1334946774673,5.57241959699877,4.6838114586335,5.69165291047011,3.79410744827919,5.08644444339325,2.13881218880897,1.09569269121539,5.2436106457576,7.37551258496751,5.94333343015251,1.00209472470215,6.29232540818975,3.23945900145418,4.25382128664205,-0.730040767788978,4.30790961498633,6.04581329298298,0.11952035683953,6.64528731057908,0.292500738768922,2.2273640307817,4.89778340791963,0.488475031986127,4.17153675716781,6.39003159181493,2.79436377535967,4.01776036873707,2.4433399907798,3.21396812288549,7.09732314086023,8.33290897839925,4.06524309217139,4.10626263508675,5.70676223060082,6.82148227807465,3.7263821321385,4.7529839569479,2.4301667422601,1.90151114364562,-13.6775733604227,4.38709665220176,2.67409683172809,1.79460909661975,1.66793564730551,5.23419644810292,0.597753038643077,2.55011108954932,2.20516413415044,-1.7632071119906,-0.356340892270509,2.45155614560417,-0.664468426889925,0.137618048156128,-1.32101142078454,0.196950805309825,-1.75397711260666,-0.104308286507603,2.75020702731808,-0.0627889939296438,0.634296243453264,-2.83909268932894,1.84626525892691,-0.887140658006047,0.00194801550105694,4.57828902890651,-0.104675817346106,-0.558198740748594,-1.61605670436484,-1.5365911047852,-1.91857974491222,-1.26245974520225,-2.97312954590507
,5,3.64777761902496,3.66205125830948,4.63766583540655,2.30813805866137,5.07869205547922,4.51946444643409,3.6406708623399,3.06616887439031,3.15934264283032,6.06154867718487,3.81941880345266,1.43153457281687,4.52168336740124,4.69459727450339,4.43211569020832,2.10512565201179,2.86121692557299,6.35548472702612,4.43418004898604,2.63937283550467,6.36000355657325,0.815719009397071,3.7869506038578,7.6704369170493,4.08654399674697,6.06041703265919,0.788205807432405,-0.277937988148096,5.75167786874135,3.45744257983733,4.20435301306225,3.54343497790887,3.75414848269384,5.11043474124563,1.65633791128403,5.09089368829837,0.451839336802095,0.225811759815315,0.318420749363213,1.09738775779078,2.13412964272266,-0.422099988240916,4.29833128957398,4.59476619576662,3.59005829576699,0.857568593771248,4.29452999854129,1.372537257776,3.60591559084105,1.10420576178558,3.82852446098104,8.23294747453065,3.71854588227779,2.96091094706344,5.66644613807284,4.62338659809211,2.89582694507499,3.72712983229712,1.16717659903588,5.55269511617007,3.36984339959326,-0.197446630362265,2.16433760938844,1.13608993640128,3.75866134647185,1.8949501307784,4.21344979734386,2.57755589573026,3.43483665698204,4.75626813872168,5.34021357526035,2.19997484543501,2.19588855298389,-0.812897307641833,-0.491546268065122,-3.22044279794454,-0.775694495196149,-1.23251643791673,-3.63696208197143,-0.00715297807892057,-0.102398005478335,-0.870963835403472,-1.35871000030056,0.78386412691907,3.24814604874337,1.58963397953312,-2.77830998704394,-0.574453082323544,-1.09698437619681,1.0661422728931,-3.94397795817031,1.14160259049913,0.19490014156554,-2.5798067481046,1.78127660758446,-2.59685638572091
,6,0.0325196490962298,0.966370444771201,2.88435306227939,1.16738156766132,4.70894135494018,2.10699246153672,-0.225865858877569,3.8009128583667,3.54731783728539,2.86001321369531,6.85639043175252,2.72317275683872,1.4649651201903,1.83192117199542,0.487969144789986,0.589044393774202,3.0041534359334,0.598477778644337,4.37105159755265,1.22246291479087,1.91757969972014,1.79233498987696,2.23370752475466,1.55785939798761,5.24187271738765,2.18331220689606,4.91799793245673,5.67352414779953,-1.9405667076112,2.82019547768004,2.81763173828722,4.8364618649548,1.36595817117905,2.7217194206728,2.25648934450828,0.0428624258511263,1.8639348146221,1.53669943742125,3.40797447441037,3.72730611346105,4.99209031658756,5.48563090157859,-0.486255664234704,4.41548368784743,1.99807269846497,1.74353992674014,3.6563165989819,6.87202632617891,2.46206799105858,8.40941104954345,1.65425517480026,1.52510112864866,3.39348397665754,3.44133152678523,3.9678426317314,5.37344112488972,6.71691296843528,3.44277570819804,1.01471317972573,5.90773504400477,2.93907782078531,3.37236275147689,3.07507736362641,10.7962936232348,2.00863472832498,2.95840693933451,4.3548665438916,1.23117075375603,3.73817200732947,3.14413526083081,3.38939339362196,4.74764507602413,-0.914657433319462,-1.21259352651305,0.45293946067568,2.61733165856867,-1.74319059610161,1.98731372487828,3.66856196827121,2.12314722686824,1.42845064643461,-0.994828535931447,-1.0208222019296,0.137339870887445,1.94383869564126,1.73302812269594,1.57518954505667,-4.46005509017414,-0.668267427050068,2.152466181823,-0.379139482547089,-0.58511874994565,-2.76344723019702,-4.28849179168174,-0.792173310907401,-1.08581792238874
,7,-0.59964213599369,3.45542318408161,0.676810033376569,3.84591099865838,3.36395158340474,2.39218578083455,1.04230138018829,1.26419517951535,3.4354912992826,3.34469973349451,-0.641260543030512,-0.857766252101555,1.3737897098672,-5.73757468836766,2.49939710886156,-0.584926514930885,2.47670759550874,-1.42729410347056,0.961996921347236,1.18109193327882,3.09165251331933,2.46823798033802,3.05963445957332,-0.365634779586344,-1.53671790108683,4.77245395996852,6.10775602481635,2.39830219225905,0.396531968288855,0.843210242757777,5.3169504625871,2.15197105205107,4.87091531771011,0.481674536034461,1.17385533156494,1.41606546912863,0.152253569278855,0.700866815346217,1.25768038126671,0.87928456243344,1.88950658416661,0.741204051864315,6.38530737929841,2.5317542098478,4.29270998882112,5.87346679125676,3.19894519356012,0.494500730372692,3.46350008956097,2.05423881445313,2.53121106084018,0.649220473989317,2.87749534230488,2.80003603882233,-1.62232678905821,1.48985988644654,3.85246376888836,6.36807366176572,5.15435290738696,0.388503501343621,-1.61962262086854,3.76690213635402,3.72137580174694,18.9538771853327,3.84008615902667,4.39233965422409,6.28297956915412,2.53468708327318,4.48937674124545,5.14686643895357,3.01007444733705,2.00132365406307,-1.29832286371447,2.16105529969991,0.728238743902693,2.00388751567425,0.432098439881884,1.28388783734908,1.41921247594337,1.86347248108359,0.136058032903748,0.177335933574341,-0.570522957301364,-0.339137200160621,-0.188437560838338,0.0272150256923851,2.55450825959861,0.531504448247688,0.657457666052323,0.260165208874696,1.18652940299035,1.0574056753203,1.16906027043387,-1.98610815272514,0.612349675989663,-1.58249167595704
,8,-2.89042408384512,-0.750865030621299,1.64546334684519,-2.6514067579501,-2.9457417858639,-2.36629928920775,2.45614288831166,4.23286385246774,0.987562529610841,1.84729256997707,2.56660214178874,2.93261990670226,-1.59848138159077,0.631624761565035,1.50084216672121,-1.0441061747606,-1.15305791870969,2.3553511100672,-1.83471690121496,2.85151636905766,-3.08403751505693,3.31769200324925,-0.515175031891431,-0.566224173334376,2.11861230368777,4.13603123164876,1.12386960785898,3.30788493067666,1.57581999226113,1.81991534768395,5.34926023391199,2.64927815583087,2.18785333566257,1.23047373485633,2.28386431131548,0.64660212503486,-0.442897044619713,1.83367558367445,1.31588012758084,2.54844232182131,0.420195038497241,2.0954084958662,1.9759009076738,-0.0680037993556653,1.53969400894357,1.98628870144512,2.05494267039148,2.69505621993812,1.12802659560657,2.00012672748289,2.27513630844987,1.23663834203398,-1.96256177216628,-3.26630904043668,2.64300184448302,0.962265545734226,2.33589132087718,-2.60487029530123,2.09051378002869,-0.710498752510375,4.17898161030507,2.60461922033028,2.15986657264057,18.6997729056911,2.76583061889187,1.2299357296265,5.87928063686695,1.89031226049156,0.881706846382258,0.757437669677074,2.38701249139694,1.8563583194441,2.43842338626791,-3.07343285690831,-0.97436892970245,-2.28553643538089,1.16593008254949,-0.0907737796246693,0.177804939170073,-2.10838000677131,-1.95780518974334,2.17401003164423,1.23487985368138,0.310628520203409,-0.248922335638781,-3.09904100658741,-0.0895910493632073,0.860078214353962,-0.088332841879037,-2.35787445668484,-1.04596115927188,-2.15143145836237,-2.52916622598605,1.31281382272573,1.05868795274455,1.42581981090916
,9,-2.77789195840478,-0.475216361713137,-3.46174063458693,1.69983563967344,-1.84492881146934,-1.40116005468735,-3.31763384308215,1.20081578690133,0.451686076504757,-2.89124370823129,3.22625078467627,1.54998619914386,-4.99576887044805,-5.37438647098315,-4.88361190291516,-1.90577518526879,-3.7012246323784,-3.13359523172676,-6.11535080550766,-2.04290854856026,-1.69582433221285,0.679500088024724,0.118290445326693,-1.08222292793062,3.06576128196275,0.324223673705092,0.806989808819708,1.65697395877123,-0.681787419763623,0.434890328788697,0.275926826402156,-1.87112573973036,2.0652494847659,-0.173934178273612,1.58926696398294,-0.723706471694186,3.97374550887298,3.62223311160824,1.23794995589969,0.102818311480405,-2.22189474698416,1.88750324197554,1.42433995332294,1.38953936493863,2.75723511021943,0.125738885081319,1.91764924096333,1.90145252813909,1.8837592494333,2.63879893033391,3.25434022827721,-1.2017167440672,0.116207930895598,-0.966377094120617,0.253096404652752,-1.07915300101422,-0.306395506843728,-1.25682223176636,-1.76774709704614,-1.27087735447549,1.06502425831513,4.0152042165696,-0.367933985150557,23.0495054099401,-1.53276013912273,5.00712324187725,2.43933037519309,3.61379893359253,1.59795161025158,6.09749991271292,2.19674707172453,0.332416542740248,0.384738378155816,-0.177667758473945,4.47968080360715,1.84950849452753,-3.54441181229186,-1.68358674016235,-1.57085187556868,0.420721662032065,-2.30556119304947,1.66521660399849,0.709318706087288,-3.28741298198793,-0.981704633792106,1.75863459000902,1.03691167143734,0.336341889893902,-1.84682620431386,-1.01527342754207,2.67250107893051,-0.556105113190824,-2.95768504293164,2.12019905909619,-2.05758454548686,5.56626135558554
,10,-3.58562506297358,-0.798856228174373,-2.26859686589523,-1.28516916681428,-1.9916027391173,-1.70299903538262,-2.71658614753596,0.491462845924161,2.05412731909155,-1.57484498838767,1.02509108253344,2.05148691966178,-6.7313329574913,-7.47834151824509,-8.61329175824449,-0.569984974481486,-6.37317783433718,-7.17690520304132,-4.39093591023629,-6.38725780631239,-7.86646956374352,-2.37865383200187,-2.58753647617095,0.447996786750537,1.50544332573827,-0.379158474197538,0.383460921195365,-2.84797479920144,-1.23009815582509,-2.35643340521665,-0.865496098170297,-0.822582154767133,2.13276241367976,-1.36436999381931,0.413073489609815,-0.572142771232393,-0.346202392187479,-0.246393631257888,1.99707084954434,2.58098835885994,-0.545546898273187,0.22680962516597,-4.30396310059587,2.27008220159132,2.57686521732421,-2.92269460928992,-1.63048577728887,0.0878889940508998,-2.78469413479297,-1.77300681155111,1.8320399119084,-4.28773153387419,-3.29293043212556,-3.08244643836906,-0.160193947638618,1.59163023467818,-0.942185227104801,-8.83992249909625,-5.42791586910653,-3.96241070347287,1.40560282774049,1.68730413516232,1.66070395769384,18.9147895954957,0.106015302787455,4.71997968796313,-1.4059713428278,1.57099465943566,0.535267316664431,-0.563189458189299,1.00998680283237,-0.668200773672197,-1.48786000414248,-0.547052722540229,0.0397709539238349,-1.30931159472493,-0.727575007900214,-1.25353843526409,0.0600084546163089,-3.39279917732483,-1.81260741141614,1.07483851062034,0.0577582538794559,0.524111289194479,-0.161310097557816,-0.460951537223536,0.447360411071713,-3.0446311963774,0.0490414186865564,2.20678094911818,1.25291438056047,-2.98957875371934,1.65163910745605,3.45209026694283,-1.67053210643962,1.14124005765279
