,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,tba-1,Unkn,N2,23.5828348458617,NaN
,A02,SYBR,tba-1,Unkn,N2,23.3013102433458,NaN
,A03,SYBR,tba-1,Unkn,N2,23.4071592703287,NaN
,A04,SYBR,tba-1,Unkn,N2 treated,23.2035092547423,NaN
,A05,SYBR,tba-1,Unkn,N2 treated,23.1376154481222,NaN
,A06,SYBR,tba-1,Unkn,N2 treated,23.1624299556557,NaN
,A07,SYBR,tba-1,Unkn,FAU5,23.675358906483,NaN
,A08,SYBR,tba-1,Unkn,FAU5,23.6465295684934,NaN
,A09,SYBR,tba-1,Unkn,FAU5,23.3719541828292,NaN
,A10,SYBR,tba-1,Unkn,FAU5 treated,23.0762410012973,NaN
,A11,SYBR,tba-1,Unkn,FAU5 treated,23.2206705842143,NaN
,A12,SYBR,tba-1,Unkn,FAU5 treated,NaN,NaN
,B01,SYBR,oac-7,Unkn,N2,20.0237470549925,NaN
,B02,SYBR,oac-7,Unkn,N2,19.9337333571388,NaN
,B03,SYBR,oac-7,Unkn,N2,19.8339186267117,NaN
,B04,SYBR,oac-7,Unkn,N2 treated,19.6492352735278,NaN
,B05,SYBR,oac-7,Unkn,N2 treated,19.7027356566551,NaN
,B06,SYBR,oac-7,Unkn,N2 treated,19.9682479689421,NaN
,B07,SYBR,oac-7,Unkn,FAU5,19.0734275444564,NaN
,B08,SYBR,oac-7,Unkn,FAU5,19.1642780303279,NaN
,B09,SYBR,oac-7,Unkn,FAU5,19.1357390941846,NaN
,B10,SYBR,oac-7,Unkn,FAU5 treated,19.5857312115108,NaN
,B11,SYBR,oac-7,Unkn,FAU5 treated,19.8227337955604,NaN
,B12,SYBR,oac-7,Unkn,FAU5 treated,19.9336487865217,NaN
,C01,SYBR,fbxa-79,Unkn,N2,27.0577864560264,NaN
,C02,SYBR,fbxa-79,Unkn,N2,27.0209368492483,NaN
,C03,SYBR,fbxa-79,Unkn,N2,27.0750155053834,NaN
,C04,SYBR,fbxa-79,Unkn,N2 treated,25.3661225466227,NaN
,C05,SYBR,fbxa-79,Unkn,N2 treated,25.3824028351862,NaN
,C06,SYBR,fbxa-79,Unkn,N2 treated,25.4537662357459,NaN
,C07,SYBR,fbxa-79,Unkn,FAU5,26.1321892176397,NaN
,C08,SYBR,fbxa-79,Unkn,FAU5,26.2527740208177,NaN
,C09,SYBR,fbxa-79,Unkn,FAU5,26.1129274634415,NaN
,C10,SYBR,fbxa-79,Unkn,FAU5 treated,24.3339171389095,NaN
,C11,SYBR,fbxa-79,Unkn,FAU5 treated,24.35028355567,NaN
,C12,SYBR,fbxa-79,Unkn,FAU5 treated,24.4581953822845,NaN
,D01,SYBR,ugt-31,Unkn,N2,31.6761937681023,NaN
,D02,SYBR,ugt-31,Unkn,N2,32.0758694459133,NaN
,D03,SYBR,ugt-31,Unkn,N2,32.1028297595862,NaN
,D04,SYBR,ugt-31,Unkn,N2 treated,28.6554487828973,NaN
,D05,SYBR,ugt-31,Unkn,N2 treated,28.8211213216252,NaN
,D06,SYBR,ugt-31,Unkn,N2 treated,28.6092675942709,NaN
,D07,SYBR,ugt-31,Unkn,FAU5,30.7066965255451,NaN
,D08,SYBR,ugt-31,Unkn,FAU5,30.5084049242622,NaN
,D09,SYBR,ugt-31,Unkn,FAU5,30.7784354808952,NaN
,D10,SYBR,ugt-31,Unkn,FAU5 treated,28.5828863072609,NaN
,D11,SYBR,ugt-31,Unkn,FAU5 treated,28.2804143589405,NaN
,D12,SYBR,ugt-31,Unkn,FAU5 treated,28.1716016544874,NaN
,E01,SYBR,ugt-29,Unkn,N2,26.2276479914219,NaN
,E02,SYBR,ugt-29,Unkn,N2,26.3577210162973,NaN
,E03,SYBR,ugt-29,Unkn,N2,26.3031655330553,NaN
,E04,SYBR,ugt-29,Unkn,N2 treated,22.2837154072753,NaN
,E05,SYBR,ugt-29,Unkn,N2 treated,22.2729454223821,NaN
,E06,SYBR,ugt-29,Unkn,N2 treated,22.225289774058,NaN
,E07,SYBR,ugt-29,Unkn,FAU5,25.1878310612711,NaN
,E08,SYBR,ugt-29,Unkn,FAU5,25.3232721101076,NaN
,E09,SYBR,ugt-29,Unkn,FAU5,25.1795226078417,NaN
