node_id	node_class	display_label	effect_category	lfc_gxe	padj_gxe	lfc_treat_N2	padj_treat_N2	lfc_geno_unt	padj_geno_unt	lfc_geno_trt	padj_geno_trt	orphan_gxe	degree_GxE_targets
zc47.13	effector	fbxa-50	GxE	-0.964711257029544	0.0464575438112579	2.89582834816931	4.34844484441075e-16	1.88584872795397	1.46638207549459e-6	0.288156393236257	0.267635789081682	FALSE	0
y39a3a.4	effector	y39a3a.4	GxE	-2.66707597395045	2.88759015168657e-12	3.79674585980697	6.3704779693326596e-34	2.83402186493443	3.7349346823303e-18	0.0495696706360482	0.890184766028933	TRUE	0
f43c1.7	effector	f43c1.7	GxE	-2.99567862543547	8.5913945442709e-11	6.40058605361833	4.60580203944384e-65	2.37392033366874	7.5926435799612e-9	-0.200556953268599	0.440379675201506	TRUE	0
b0284.2	effector	pals-27	GxE	-3.54435678679828	0.0012666225457674	4.74039472297548	1.19873570210239e-8	2.83849440728504	0.00292089323794503	-0.0755054341568242	0.735548536059791	FALSE	0
f42a10.7	effector	f42a10.7	GxE	1.38134994682757	0.0389242311731406	-3.03522566643498	2.92216874401522e-10	-2.02693310139527	1.5489814884451e-4	-0.088492907186071	0.742200166928504	TRUE	0
c16a3.7	effector	nfx-1	GxE	-2.08472511896128	8.66891584407511e-26	3.81979061897481	6.098623381247329e-118	1.31326605109147	8.01330168893092e-14	-0.638245819917683	4.8492452967827e-4	FALSE	0
c02f5.8	effector	tsp-1	GxE	-1.29747166211914	9.86370020002741e-5	3.48693754425994	3.41977689078567e-42	1.06653580386841	3.359044784906e-4	-0.0971713922348689	0.73596114709456	FALSE	0
y47d3a.2	effector	fbxa-128	GxE	-2.65004952102556	5.4054599826059104e-14	2.85215582853336	4.36064039084366e-23	2.42981205227954	5.25173604405797e-16	-0.0834878133246973	0.78191088753822	FALSE	0
y47d3b.10	effector	dpy-18	GxE	1.51437467284279	4.795059403396919e-11	0.423629434920388	0.0553016635062665	-0.301924291165014	0.268603308729248	1.05267172052794	1.04104597338751e-7	FALSE	0
k11h12.3	effector	k11h12.3	GxE	-2.44414713481685	9.63471685258624e-7	4.24119033681909	6.17276557762561e-27	2.33286069817916	6.79426228808287e-8	-0.0357963109893216	0.923884621631231	TRUE	0
k11h12.4	effector	k11h12.4	GxE	-2.01713077854946	3.5935410492727803e-9	4.5037057646359004	3.93593326049725e-61	1.61947763854195	7.12346073835792e-8	-0.166492533099865	0.532406358193171	TRUE	0
c45g7.3	effector	ilys-3	GxE	2.33878417234066	1.52621873295228e-5	-3.3378272041506	6.5471979437918e-16	-1.84580071487392	5.36925022366899e-5	0.128902441711677	0.633239429777833	FALSE	0
