,Cycle,B3,B4,B5,B6,B7,B8,B9,B10,C3,C4,C5,C6,C7,C8,C9,C10,D3,D4,D5,D6,D7,D8,D9,D10,E3,E4,E5,E6,E7,E8,E9,E10,G3,G4,G5,G6,G7,G8,G9,G10,H3,H4,H5,H6,H7,H8,H9,H10
,1,-57.85743556432,-12.3530913029363,-7.67213974278775,-25.7673593419677,-31.0910648152299,-15.6936625374492,-21.9131390502339,-32.2483135984812,-2.63827048568555,-2.45712019493794,-0.108163204471566,1.4611338075988,-4.76879014362657,3.68490654219113,-2.09394181212883,-11.8690682686101,-7.86379234085325,-7.96508015402424,-8.46379133970731,-9.18734745289385,-3.09654184994542,-4.00744423055221,-0.207625299881329,-10.5330946400722,-10.5642249914854,-3.72442924451707,-1.13587264047737,-5.40625077149753,5.30808318924664,1.60706175711903,3.92296833179034,-6.31797142235655,-24.5865030936461,-5.41527159475027,-6.77775841366929,-8.40965719023643,-9.38132449539944,-3.64290485816082,-12.7187929620613,-26.6566145176366,-26.3645373022055,-10.0360560239137,-6.39476304872414,-10.7963175507102,3.66629360221032,-4.02410762066347,-11.652999137722,-26.0678681784561
,2,-31.9795309762108,-1.28946381517471,-4.30050414349216,-8.9260769085713,-14.1705655038563,-8.04367936530753,-12.6630678819115,-9.35980846887469,-1.84271629424893,4.6899232480323,3.91919207327419,3.58619731002636,1.18027789907046,3.1954745476005,4.91943149805911,-7.25222814817926,-4.49846420904669,-6.39921855111379,-3.24048429824779,-2.7137395052805,4.52378490651017,-0.0529545784547736,-0.798386362018846,-6.62837880332972,-0.656924246529343,0.424297434989967,-2.45705110024483,-0.696750036592675,5.96752123688975,8.35816558511078,4.7547584732547,-5.71167236237534,-10.4731421957872,-7.52720375940589,-3.18955104534871,-2.05286814712963,-2.52837543839087,2.59032525062003,-4.77201806230687,-10.3258444565859,-10.2366340263034,-1.29538566150177,-2.69405795960938,0.222289329456089,9.30264764200319,4.28706643013493,-0.40614261408291,-11.2942088407258
,3,-22.7828562146033,-3.33110666253833,-2.38866805816588,-4.31028174286894,-7.55720319547299,-3.73160049088074,-6.92285723302348,-6.29457912023554,-4.35896868955115,6.06557482726566,8.57583515875058,3.86998645121139,6.65713745337371,3.00873477258938,7.75292415177319,-6.18403064163067,-7.90358285375396,-4.30821899340572,-0.159192177636669,0.527089189061371,5.03292352567905,8.21215286239249,2.35828230759626,-0.935560129444184,-5.27493657256809,2.90370625548167,3.93956313874696,2.62002655683409,9.85973962940898,5.88118849116427,7.9014965212109,-1.39892044858971,-9.34748685283284,1.91608891251281,-3.17803593013605,-4.1363317253431,-0.45971545711609,0.00280356225039213,1.11054944675743,-3.49877272083813,-9.06771479017243,0.965578970593924,1.28226572078302,0.896928368527369,6.50021259692949,8.87691027139499,2.34875293607229,-8.96994611571381
,4,-18.9891335615489,-3.09912634907641,-1.44989220836624,-2.24515693357171,-3.45353699843054,-3.04802770211381,-2.95817465962091,-4.24241693054864,-1.21076345674601,4.02443521376972,2.38863483505338,5.57322683502571,2.26091247443264,4.09558789568564,4.07953112060841,-0.159446994025984,-2.8558677304809,-2.71660643523865,-0.469569327927275,1.5070148043751,1.88745787380822,0.348623015557678,3.28014492090097,-3.64285440842514,1.67534346712864,1.17581213837275,3.47245361928663,1.46680953144232,2.28980266804092,3.77143507711344,3.34448377607941,-0.452226457193319,-2.37249564311605,-2.0491735769574,-1.08973479200631,-2.4722276853895,-3.85986816914783,4.94711053136461,3.60120001898395,-8.20118107637518,-2.96948640144183,4.88185355596761,3.1425670304493,1.97805898112983,3.15814246921809,9.063589231695,4.03838738802324,-0.91415655796709
,5,-10.5933487785674,4.95451633034509,0.0556950986015181,2.22586320024584,-2.66243461492377,-0.0763714271338358,0.58622682208852,-1.55757589568339,0.545166674236498,0.589558189303261,6.15242854385315,8.86721105498191,5.69976852625496,4.22457207014759,4.19280395975966,-2.77271869255128,-0.54241864716505,-0.797214825039191,0.730551580588781,-1.39126117914884,2.61939096103879,2.33096422397284,6.64668217240978,-0.10560480987624,-0.826647798838621,3.37970716731297,-0.660900521880194,3.15437310760763,6.72165445803103,6.22373557493029,0.982625339921924,0.285156288343842,-3.44167533751488,-0.624309369561615,1.43366948642597,1.92534164515473,3.4668677703753,1.47844815689587,7.07941455904256,-3.83187750776142,5.20609342233865,6.26070337028614,0.757098614607003,2.99330285020505,1.09217781392908,6.85797009796897,1.41761981913533,-1.16644662144563
,6,-11.295370648083,3.71376948849093,0.508846758092204,-3.21387178091481,-1.64788532421198,0.146455927222178,-3.09858875216332,-4.31604606406563,2.01210213694776,5.59375270635928,4.47390025398545,0.882599167319768,2.01283306590676,-0.182154485719821,2.50434868044249,-3.19027960002768,-2.12051225698269,2.26712525080529,-1.22231394937944,0.389664379842998,5.73094291871894,5.93046195612942,8.3697887387475,-2.53728124792224,0.984453839851994,1.63888584365077,5.53780055352399,4.85368105357293,3.06915215233585,2.35295368311654,4.07633063446428,4.00632422976832,-1.19804536736365,2.81138245033299,3.87661579292717,5.66633779341601,4.33855094026148,6.3178745888863,0.644430963184277,0.233538765250614,-0.0669955084354115,1.58013428630829,4.16793481381501,5.03446265795037,3.87614578438297,3.45624860593398,6.301253257393,2.44555146981247
,7,0.0690683437378539,3.22231349917729,4.4447862051552,-1.18777222255358,4.70365392237045,0.291719970670783,1.23366632207126,-4.19613688647587,1.17823661918601,2.1186675366589,4.74079639115598,1.66581223938056,3.62410590597619,5.33556410783194,0.645400462998623,-1.39874960533689,-3.29103261986256,2.3599124436746,3.55429142611774,2.00009700070723,0.0358882612226807,-2.09087800000634,1.91630765869468,-1.2883590646029,-1.03090119289436,0.319784534326118,2.57403064075152,3.91144605259342,2.72943251565312,3.03060141961396,1.85792477097357,-4.09018071176115,-2.71404078818205,2.60550121409824,1.22062809149975,2.45297821653639,-0.993855123321282,2.6511912580213,-2.92510050518604,-2.11514051813583,1.05010795848148,2.31533801802243,2.39959068657663,6.94366727323995,3.88685952521973,-1.11648375297864,0.683107090515023,8.91080619942295
,8,-3.13037121346179,-0.857335022564712,0.38947532165912,0.0882747632817882,-0.0932156504968589,3.03946832604061,2.04481601157977,-1.91886809580228,3.26271430213001,4.09980858523068,0.328247603955333,1.8448255873077,-0.377016922000166,5.18893173294964,-0.517217714314029,0.892517381515063,0.928816254117919,1.61093221425335,3.80828755251196,3.75537684860365,-0.888568905500961,-1.50223613434628,-2.97203704160165,-3.04809765582741,2.01508020704068,5.54669885845306,0.464884622321279,-1.00094436764084,-2.42168590143865,1.63059237188827,0.0485232704136251,1.70808702234035,1.57986892458257,2.57081061161762,4.45307960732316,0.580603955412244,0.99589273508991,0.076702949724222,3.99663354537461,0.282154015955257,2.58670871532422,0.435309898142805,4.87866043751455,-1.97846044145172,4.72513037850376,-5.33338287487504,-0.163459809612959,6.22673716361942
,9,1.4267903157297,-2.34784552642122,2.60414373609865,1.98363897743911,2.52479690883138,-0.365130836689787,0.318108111786842,1.15917930769274,-0.687342885856651,4.65996715536994,3.21034496030006,2.69389461199626,-0.343352281406624,-1.92641335197459,-1.49516361020233,4.95777481910136,3.21498559520433,7.00192830492324,6.56092992836648,2.48743013555941,0.711474515637747,1.72847053992928,-5.64003830459842,-0.655238339140396,1.98466307025228,3.12244227187239,5.55843112353523,-0.484598652796649,-3.61557737964995,-0.505015174157052,1.66950174633075,4.20653553662669,4.69035463630416,1.32684936054238,5.23963480519933,1.33760804777194,2.44588639039375,2.81313970381052,0.336367497270658,2.61312813527957,0.297855871637694,-2.27422430377419,-1.26762071048915,-2.26419979506136,1.08134381230184,-0.0333782191601131,1.80203739547051,6.00032711342647
,10,5.3912510187015,3.7735811650482,0.967232419335687,6.75713889093049,3.43470910354563,6.22081561454252,5.04500974323992,-1.5731926641979,2.13329220394007,-1.4173917987282,-0.229212010080573,2.50390786726348,-1.75534105521547,-0.601747453501503,3.33633423007586,6.6173498496928,-0.387071666900283,2.74409641847524,4.29122550888178,3.79492705381017,3.99376386205722,-1.63931474122819,1.98641766343235,1.68469254985575,2.51987277132457,0.672575155764207,2.18708784123874,3.00305630690264,-3.70553308030367,-1.91718623848783,-1.9804106644151,1.18408561409569,7.59132182550547,0.897302948456854,5.17323741489145,7.78600353066349,8.91847075084161,4.8251643369631,4.25950119730351,7.5066186662325,3.123303819787,-4.03665673276601,-1.85300221365151,0.631132528510079,-1.40557854865028,-3.29143689247621,-1.89702671142504,4.07850000848111
,11,1.48132757613757,0.127151894545477,1.89308142400569,4.53725687464794,1.16233007205437,-1.40391099478938,-0.257415898269301,1.30826343644458,2.8238629664238,-2.24971430549613,-6.93008698349649,-3.71918790484597,-2.16803135782357,-4.06259192968537,-4.68816593308247,3.79410657366725,1.36078873448878,3.41446214262533,-1.14637945831191,-1.5753386700062,-6.44777588125135,-2.07579198555459,-5.17732912584779,0.397196818469638,1.64723507777262,0.852055737861974,3.49539807821702,2.94084796421885,-2.91546220441387,-1.96273066524418,-3.34342474321511,5.03623354628962,3.07718703203909,3.39979630261769,-1.50604260934597,3.96823531991004,3.80875410971203,0.318455520926364,-1.5957091862515,4.43474669437273,8.41931418306876,-2.72289870074019,-0.452226174467341,-5.09745412430766,0.208598552145304,-5.47019467854125,-2.59990277335191,4.86529128837537
,12,9.99446223308405,-1.44238538614036,-1.7029134467457,2.44835442366639,2.64933286546557,0.213836637819895,4.81242291905437,2.59796414947186,0.0567683328249586,-5.71065278105516,-4.24458093000476,-8.5485830510238,-7.82600201756713,-4.77481681300424,-5.71904025666208,-0.988220256346267,1.16346844077589,0.392277328451655,-3.24534701427729,-0.187839335706485,-3.95355911487877,0.445624975698138,-4.8208488064929,-2.5069331006448,2.80075613459121,0.372979846383259,-0.453279712580752,1.32834890077493,-5.71403628990765,-7.91064846388326,-4.29788989859253,1.15961148654878,2.78317968517376,-4.16703882420825,-1.29682191997153,-0.218080606241074,1.55229436780382,-1.53280724776641,-1.76050381849382,2.83560212527527,4.02747100042825,-4.6431407735854,-3.81086216080166,-4.65975699620276,-5.92087283710089,-9.29363627991279,-5.9313948040699,1.12901914382383
