,Temperature,B3,B4,B5,B6,B7,B8,B9,B10,C3,C4,C5,C6,C7,C8,C9,C10,D3,D4,D5,D6,D7,D8,D9,D10,E3,E4,E5,E6,E7,E8,E9,E10,G3,G4,G5,G6,G7,G8,G9,G10,H3,H4,H5,H6,H7,H8,H9,H10
,60,8.52713139513355,49.6285822401862,50.2430884541216,54.6446765302028,41.8368082424161,41.8295532814432,43.9958036686883,17.4895111558179,64.5116700438145,65.6927657902345,65.6412778180618,68.6221427035421,67.0597022355264,62.2579739568373,65.5449053214168,75.8563760857435,4.64279304238067,60.3540883822925,68.0330616324552,63.2496200636763,69.6809381427815,74.0772304176942,75.4135699917535,10.5003930570811,78.0483481123874,63.7333656638434,70.8106758633323,73.5436579050788,70.3385861587983,76.023092508548,71.83777976383,90.1261840079628,46.5183850013082,57.8364434049438,65.0279795936324,59.7015242578484,62.5587345121089,61.9604653577314,63.842828662802,46.1035789060381,17.100781620584,37.2792421720862,36.8597337012359,36.8263561521501,34.381202014353,43.1260032089428,37.5091391641565,47.1076627457776
,60.5,18.4754513561225,107.528594853735,108.860024983932,118.396799148773,90.6464178585668,90.630698776461,95.3242412821585,37.893940837605,139.775285094932,142.334325878841,142.2227686058,148.681309191008,145.296021510305,134.89227690648,142.013961529739,164.355481519113,10.0593849251584,130.767191494968,147.40496687032,137.040843471298,150.975365976025,160.500665905003,163.396068315469,22.7508516236755,169.104754243504,138.088958938328,153.423131037217,159.34459212767,152.400270010731,164.716700435186,155.648522821631,195.273398683919,100.789834169503,125.312294044043,140.893955786204,129.353302558672,135.543924776237,134.247674941748,138.326128769405,99.8910876297512,37.0516935112678,80.7716913728545,79.8627563526773,79.7904383296593,74.4926043644307,93.4396736193764,81.2698015223389,102.06660261585
,61,17.0542627902669,99.2571644803709,100.486176908247,109.289353060404,83.6736164848307,83.6591065628888,87.9916073373788,34.9790223116353,129.023340087631,131.385531580469,131.282555636122,137.244285407082,134.119404471049,124.515947913673,131.089810642836,151.712752171491,9.28558608476112,120.708176764587,136.06612326491,126.499240127352,139.36187628556,148.154460835385,150.827139983511,21.0007861141624,156.096696224773,127.46673132769,141.621351726662,147.087315810157,140.677172317598,152.046185017093,143.675559527659,180.252368015925,93.0367700026184,115.672886809884,130.055959187265,119.403048515697,125.117469024218,123.920930715458,127.685657325604,92.2071578120781,34.2015632411722,74.5584843441716,73.7194674024731,73.6527123043008,68.7624040287051,86.2520064178859,75.0182783283128,94.215325491552
,61.5,17.0542627902664,99.2571644803677,100.486176908247,109.289353060409,83.6736164848303,83.6591065628963,87.9916073373727,34.9790223116344,129.023340087633,131.385531580479,131.282555636104,137.244285407093,134.119404471042,124.515947913691,131.089810642813,151.712752171499,9.28558608475714,120.708176764576,136.066123264944,126.499240127342,139.361876285549,148.154460835392,150.827139983519,21.00078611416,156.09669622478,127.466731327701,141.621351726661,147.087315810136,140.677172317587,152.046185017093,143.675559527666,180.252368015915,93.0367700026077,115.672886809882,130.055959187302,119.403048515686,125.117469024188,123.92093071544,127.685657325607,92.2071578120847,34.2015632411751,74.5584843441673,73.7194674024724,73.6527123042913,68.7624040287033,86.2520064178893,75.018278328293,94.2153254915281
,62,17.0542627902705,99.2571644804098,100.486176908235,109.28935306037,83.6736164848528,83.6591065628406,87.9916073374195,34.9790223116532,129.023340087621,131.385531580395,131.282555636269,137.244285407003,134.119404471112,124.515947913569,131.089810642985,151.712752171424,9.28558608478727,120.708176764668,136.066123264684,126.499240127417,139.361876285658,148.154460835355,150.827139983442,21.0007861141769,156.096696224735,127.466731327586,141.621351726672,147.087315810299,140.677172317684,152.046185017102,143.675559527603,180.25236801599,93.0367700026836,115.672886809897,130.055959187009,119.403048515777,125.117469024432,123.920930715608,127.685657325591,92.2071578120224,34.2015632411453,74.5584843441998,73.7194674024802,73.6527123043722,68.7624040287178,86.2520064178557,75.0182783284449,94.2153254917396
,62.5,16.9928746837865,98.9187397253759,100.092979588057,108.911508347776,82.2514252785963,81.9638583921469,86.5295220016781,34.5928085964325,128.203293622515,130.948224730316,130.882683212813,136.844225215501,133.733574841268,124.21945008325,130.743419214644,150.789038990695,9.42360499830335,120.068303436381,135.429781316572,125.788123724387,139.10756468412,147.880138595451,150.462545952614,21.1301396889522,154.896703564486,127.088675127984,141.186099441903,146.609045840301,140.404427938191,151.696644703467,143.228946993556,178.829955338268,92.541534807247,115.324023179531,129.535403782588,118.926470486565,124.75693659604,123.561190703663,127.35439731126,91.2576983654778,33.369360601888,74.109617045048,73.2436929978996,73.1337149162368,68.2015014926178,85.7408374599027,74.4411029860958,93.5076579258377
,63,17.365850770759,101.005070136266,102.49994854206,111.274307529692,91.1576467876459,92.6130246260043,95.7213314836495,37.00406280682,133.30897104399,133.959519689294,133.536884381655,139.487823715707,136.40044667101,126.12469053899,133.015777116671,156.59491487896,8.52202393737736,124.141596312282,139.607939786283,130.341990609568,140.805374447139,149.706157947103,152.859298699654,20.3511264406662,162.463779783781,129.509980696903,144.076447466966,149.724692251459,142.151956013994,154.065680881313,145.805000470526,187.6524010035,95.8359451990325,117.603050741385,132.880767603732,121.858894765656,127.151201263821,125.935626130358,129.456807879253,97.0906178237301,38.3286862008106,76.8301916783398,76.1971377017678,76.3741173613819,71.6451208339736,88.9335044973022,78.0248537713451,97.913471059431
,63.5,18.1225184548641,105.054291072661,107.240327151443,115.512777968927,107.557078117742,112.021614771385,112.404112928255,41.5695199990931,142.664391419032,137.242189481771,137.099176122314,143.07589860148,138.934693891317,128.966582089209,136.117404239517,166.939581380144,7.16727864607651,131.023400355583,145.71711213471,137.886030773407,142.915929989078,151.978873266836,156.23023648108,18.6245526799283,176.184762181073,133.307234637752,147.794750944352,154.290971180603,144.755489839279,156.724553143802,152.188465402761,204.827913023128,100.258641128311,120.920663394444,138.368582324559,127.74052651225,130.295603732951,129.238696487362,133.008795856504,108.551682612119,49.0505827344321,82.478632617017,81.7262329173798,82.3822152134369,78.5373276598375,94.8555559300996,84.791970195605,106.108912638791
,64,18.991016173003,108.491693808322,111.866606219749,119.401211211949,119.058438184563,124.75510720387,123.469452019467,44.3681213779842,151.153720958034,137.960445894391,139.221176652995,145.63583717205,141.545001628855,132.517074232268,139.319293759993,175.273167048251,6.40725635549052,135.938402738272,148.722354039985,142.636748546425,144.737301118492,154.249002993249,158.507972243991,17.4361836600299,184.20518788001,137.161742768573,151.051840617491,157.922178759634,148.394622675612,159.034862768816,159.28018802994,216.387495501932,102.608488531602,123.30881414733,141.357898829962,131.711034297499,132.577209786323,131.088125200892,136.05849766249,118.502654809765,60.9855180227917,87.7458461596141,86.6930045699169,86.8317364887607,83.9076458609213,99.2354211705542,90.314035046275,112.827605342005
,64.5,19.1722627946278,112.016065274546,116.911447434835,124.024287135874,128.716708486483,136.413059975915,132.789782543899,46.2647582738696,161.907907891934,139.264203027901,142.394210191732,149.507069162207,144.544939850253,137.142007581223,143.233997490751,183.284984174823,6.11949673927018,140.551079591927,151.930316038538,146.867199064456,147.71671237597,157.947999042668,162.244644285053,17.0388817781761,188.493917203155,141.967363085928,156.201629973604,163.030908750372,153.060886606348,162.709568637687,165.810465370318,221.159577086775,104.752267745139,126.653082762439,144.755291065072,135.389871403248,136.177682193533,134.783822183513,138.362441088321,129.229420281703,76.5917290530958,92.6080254061251,91.1554890869893,91.5310450157669,88.4812585920397,103.317212297285,95.5755489353271,119.709725007759
