"gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CELE_Y74C9A.6",3.78383479524858,-0.136805790283908,0.702970731753057,0.130187860360819,NA
"CELE_Y74C9A.3",721.995971384351,-0.149577162302756,0.182662488633803,0.405979700688461,0.637294916068441
"CELE_Y74C9A.2",5072.17811259585,-0.381242650823154,0.157498951848361,0.015461706090295,0.060655195943465
"CELE_Y74C9A.4",922.269632081748,-0.465579587842737,0.202176024516032,0.0183787632392617,0.0698506103173417
"CELE_Y74C9A.9",93.9172814588922,-0.0982979984122638,0.460477025020562,0.778305377192532,0.892740792956308
"CELE_Y74C9A.5",778.875550139285,-0.569101897989743,0.380230644143033,0.0743208221614672,0.206790237724533
"CELE_Y74C9A.8",94.3616763024993,-0.248258611851145,0.526877653093765,0.46996686385432,0.691953755045522
"CELE_Y74C9A.1",12.8251171602902,0.134464437608358,0.654905854531246,0.464954969172397,0.688239052416973
"CELE_Y48G1C.12",289.107543847188,-0.716639611223606,0.281329850920017,0.00523505576854253,0.0247121307718614
"CELE_Y48G1C.4",420.746921898797,-0.156179526824795,0.25259803780736,0.503704952512058,0.718835812997259
"CELE_Y48G1C.5",13.1884780335497,-0.289067774628578,0.682898422639205,0.310282839518794,0.542453335592019
"CELE_Y48G1C.2",1137.96880398961,0.0267766606650387,0.237122872188976,0.90619810240656,0.958335527476526
"CELE_Y48G1C.10",509.921116352954,-0.286762794533449,0.361455421047653,0.349170320987012,0.581828124673114
"CELE_Y48G1C.6",313.930536614623,-0.0198023211825371,0.296891949495571,0.93875857864445,0.973000525765687
"CELE_Y48G1C.9",598.180990389701,0.0100493341703929,0.291921989026196,0.972545669332697,0.988389345696682
"CELE_Y48G1C.1",343.746516517572,-0.459175398116933,0.224785800121001,0.0308156405815126,0.105767212857827
"CELE_Y48G1C.13",12.0378463543205,-0.395677551424553,0.725679921073148,0.180573221511627,0.387543223464314
"CELE_Y48G1C.8",1671.795396513,0.000483906011847678,0.170832496130266,0.917078384805833,0.963571981041311
"CELE_F53G12.1",15315.1610484026,0.270272236413609,0.126148194045715,0.0292402821102876,0.101739708345429
"CELE_F53G12.16",8.22073502991555,0.303005336126944,0.7574424421708,0.0651934513375774,0.187339474448062
"CELE_F53G12.15",6.5031825636933,0.228930957523695,0.718723824582081,0.128955361084624,0.30904353815287
"CELE_F53G12.10",171361.919735035,-0.00674999428235504,0.183733518471448,0.966395887569484,0.985490836308404
"CELE_F53G12.17",5.39362068605996,-0.0810733074326817,0.683287385291785,0.29860826478362,0.530797588932499
"CELE_F53G12.12",5.04272158009725,-0.143962158378034,0.699044233250067,0.207742976593996,0.423206362873398
"CELE_F53G12.9",477.608164110551,-0.311813462842662,0.354618833084405,0.30115964622153,0.533394932988673
"CELE_F53G12.8",17.5881588062977,-0.113052757943811,0.665295830818753,0.499207608727913,0.714950805790428
"CELE_F53G12.14",0.529254832237484,-0.0157339526301455,0.68390352882175,0.75265385239312,NA
"CELE_F53G12.7",20.1753677876447,-0.185787771449035,0.608137932303012,0.549789706441709,0.752993215055872
"CELE_F53G12.6",2.72664176178628,-0.0698077329127319,0.682299463000329,0.35633008786356,NA
"CELE_F53G12.5",1023.25638518287,0.264451662703438,0.246415050144162,0.249650617313744,0.474412988470671
"CELE_F53G12.4",25.9749450855432,0.188576484126582,0.608773617252846,0.546749790226765,0.751162695634102
"CELE_F53G12.3",9.57826622525516,-0.160355416141323,0.699590589927631,0.350528107325179,0.583153880984189
"CELE_F53G12.18",29.4292475320166,-0.266738183970293,0.550084316528059,0.449312358438143,0.675116322856372
"CELE_F56C11.1",1199.15259716212,-0.48893340943776,0.280742353639579,0.0543960616245504,0.163515286184356
"CELE_F56C11.2",937.87361409971,-0.819031134834626,0.209528492962361,3.99399336307626e-05,0.000323996099085276
"CELE_F56C11.6",1826.06394487479,0.482074024457925,0.174488084605467,0.0041767079989939,0.0204891374136452
"CELE_F56C11.7",0.774646473795829,0.0182203101817922,0.683387667045873,0.723390421944271,NA
"CELE_F56C11.5",307.710167607886,-0.202435501960194,0.2900301987411,0.461785236853761,0.685628405194846
"CELE_F56C11.3",319.179365501256,0.259872699289082,0.338587365599337,0.376857868803589,0.608618123127173
"CELE_Y48G1BL.2",747.988579422136,0.0217091417294861,0.276534197884415,0.982487445086329,0.99178367694762
"CELE_Y48G1BL.7",47.5561622496693,-0.613437380926831,0.587563482887779,0.115101673399069,0.285245397323497
"CELE_Y48G1BL.3",102.746832684381,-0.169218869800498,0.48410275440843,0.609554186402043,0.795395447965141
"CELE_Y48G1BL.1",74.942379678955,0.0768112844189388,0.46775063498836,0.828998698486703,0.919631654027161
"CELE_Y48G1BL.8",21.028549777987,-0.769215553832348,0.987424056908,0.0550665663570413,0.165012670461469
"CELE_Y48G1BL.5",57.1440160233773,0.280704910308313,0.377760021461057,0.383395258567127,0.615345404602541
"CELE_Y48G1BM.10",46.9302654416627,-0.0878272158077689,0.534189390209761,0.786316139576897,0.897444187561372
"CELE_Y48G1BM.6",92.1724244501059,-0.286476716650189,0.44006251554828,0.381150408120814,0.613176587797382
"CELE_Y48G1BM.2",0.992736987830366,0.01160613930806,0.682956136171093,0.889738158010231,NA
"CELE_Y48G1BM.8",30.0832296838002,-0.0625594249012052,0.53667088403451,0.854807545301841,0.934608414926975
"CELE_Y48G1BM.1",171.135480028649,-0.121385812342352,0.321349155723626,0.665826341128299,0.830277806825746
"CELE_Y48G1BR.1",1312.22378358111,0.450342265043666,0.229719901614349,0.0370356305504273,0.122403882061776
"CELE_C53D5.2",218.503540724766,0.065982800627408,0.260952392689583,0.777694252663668,0.892422738466573
"CELE_C53D5.4",343.695668142908,0.329993352049512,0.244249055793836,0.171728519854107,0.376142099049165
"CELE_C53D5.1",606.175911985581,-0.165364016025727,0.216039628767232,0.416321245201468,0.646788531870937
"CELE_C53D5.5",858.69843797315,-1.08363947485112,0.252803150820706,5.04419512563798e-06,4.78785078318753e-05
"CELE_C53D5.6",5933.95379256167,0.497328944103497,0.165863793992243,0.00194319800209089,0.0105551370808385
"CELE_Y48G1A.7",102.546554527243,0.157082303767348,0.384590665297338,0.623433920042518,0.80428407185377
"CELE_Y48G1A.5",1511.16878769933,-0.321034393302215,0.295217167459155,0.223856137343822,0.443873499703554
"CELE_Y48G1A.4",1181.93018438835,-0.116750053977349,0.20167294441002,0.542645585283592,0.747686279774997
"CELE_Y48G1A.3",481.813414945894,0.0163309941144324,0.233619253212178,0.924084255614612,0.966766408132554
"CELE_Y48G1A.6",203.922599272939,-0.562971156458018,0.33700131216277,0.0548646142429253,0.164570746294719
"CELE_Y48G1A.2",131.098958915879,0.0142932466972661,0.368209455232203,0.948718989503628,0.977362548652945
"CELE_Y48G1A.1",313.276040803764,-1.09102150934949,0.297656623623152,6.63711065520071e-05,0.000518870827930628
"CELE_R119.1",250.629294696954,0.387435307418446,0.331128698701152,0.177003055498663,0.383135833276432
"CELE_R119.7",490.160472126248,-0.27251281346359,0.216630191406098,0.183237980770312,0.39126502861789
"CELE_R119.2",766.646643513021,-0.230158433311278,0.268831514952103,0.347738538614038,0.580404772005132
"CELE_R119.3",2103.14204696154,-0.210869343767828,0.20166923264968,0.270787265251236,0.50036366316694
"CELE_R119.4",16042.1309870618,0.650847505969553,0.145272456223731,9.10481346016839e-06,8.30595685819793e-05
"CELE_R119.6",856.905317538653,-0.357272276201047,0.122979498772989,0.00331684627707654,0.016836856937445
"CELE_R119.5",731.388339713847,-0.129093339764149,0.226784202627559,0.542749768598947,0.747774220151791
"CELE_Y50C1A.1",1390.25750741665,0.382467637806285,0.243849215402566,0.0926298513318577,0.243715689502508
"CELE_Y50C1A.2",82.4101922279227,0.118828442269096,0.427058868422407,0.724112400540397,0.863232181007108
"CELE_C07F11.2",103.403301461733,-0.277899885273374,0.39928871037423,0.397094746982801,0.628512854271087
"CELE_C07F11.1",1188.08499222791,-0.256469296179955,0.249054740497181,0.231931365600217,0.453233437309956
"CELE_W04C9.4",1190.47456364923,-0.183406793811682,0.221657568359473,0.402748705730766,0.634049453630694
"CELE_W04C9.5",188.229263865476,-0.360698746787761,0.376547144156692,0.24431624883564,0.467778387767566
