"gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CELE_Y74C9A.6",4.58352845761135,5.82655076153897,2.63789953920016,2.20878417655952,0.0271896561674198,NA
"CELE_Y74C9A.3",624.002376534846,-0.15105903246841,0.262528153849447,-0.575401267458109,0.565019947146184,0.869180217759456
"CELE_Y74C9A.2",4425.81396050087,0.270299700535387,0.230677404821634,1.17176496217473,0.241291433476101,0.682192024336243
"CELE_Y74C9A.4",720.499307742088,-0.180929161716022,0.273403137275753,-0.661766955269197,0.50812058687172,0.842028993426493
"CELE_Y74C9A.9",69.0711072363286,0.912192019488957,0.62886652795542,1.45053358532961,0.146909780563722,0.592543338581524
"CELE_Y74C9A.5",462.974599846834,-0.402288275017544,0.504638922285895,-0.797180433873934,0.425346247790448,0.801233209760665
"CELE_Y74C9A.8",66.2972879674421,0.103909905283681,0.746745972067636,0.139150272208324,0.889331403129539,0.974593534987498
"CELE_Y74C9A.1",16.7512027798478,2.19360677631568,1.52623194148803,1.43726960279509,0.150641402500607,0.595365963736106
"CELE_Y48G1C.12",209.431594982792,-0.0458308824521681,0.334433837785836,-0.137040207281648,0.890999014083512,0.975369645325902
"CELE_Y48G1C.4",336.849036835327,-0.317526600809683,0.307783824924677,-1.03165460656482,0.302233949544296,0.729554062180202
"CELE_Y48G1C.5",10.7291430578318,1.9170038058562,1.23801559094788,1.548448840122,0.121514270074822,0.558914554849308
"CELE_Y48G1C.2",981.089775768737,-0.298475961660062,0.320571659633834,-0.931074075609148,0.351815247691776,0.758725096812699
"CELE_Y48G1C.10",356.586381614809,-0.495026919427827,0.500637951973644,-0.988792234940045,0.322764804198772,0.741406713313048
"CELE_Y48G1C.6",272.18050090089,-0.0440880220194348,0.338081032307679,-0.130406671200978,0.896244688808158,0.977274255941412
"CELE_Y48G1C.9",625.308982298458,0.538389894493825,0.379028609121227,1.42044658777098,0.155477707952557,0.600371753347874
"CELE_Y48G1C.1",247.813558400343,0.235833244728532,0.306350742154527,0.76981450434866,0.44140993461774,0.809829235722185
"CELE_Y48G1C.13",10.1648529059377,0.781262462554195,1.13446451341414,0.688661878195739,0.491036071407542,0.835435140985218
"CELE_Y48G1C.8",1305.37738427563,0.209085457206047,0.306462167942693,0.682255361598647,0.495077493655365,0.835435140985218
"CELE_F53G12.1",16244.9222083763,0.198796546182948,0.248224811560424,0.800872986601324,0.423205180122185,0.799699621164579
"CELE_F53G12.16",14.0514049281497,-1.54367152089759,1.09277954423805,-1.41261019117441,0.157770370885182,0.602728850576613
"CELE_F53G12.15",10.983711113764,-1.67509057223602,1.19395524234906,-1.40297601854852,0.160623990298233,0.606075163179382
"CELE_F53G12.10",172032.731543657,0.616771586290286,0.287939133345409,2.1420207080724,0.032191815694337,0.363166547418555
"CELE_F53G12.17",3.32591439042653,2.76934187246633,2.39081654640138,1.15832470568882,0.246731552951159,NA
"CELE_F53G12.12",2.69383395683031,2.25925963983955,2.85616744203895,0.791010921343856,0.428937618407839,NA
"CELE_F53G12.9",480.88215098722,0.829020365065768,0.441218154321678,1.87893529979584,0.0602533281530284,0.455710063459977
"CELE_F53G12.8",20.5553878359639,0.727270783706351,1.6744971278694,0.434321905724447,0.664054698688972,0.907588274502757
"CELE_F53G12.7",18.8110132868207,1.13548498950683,1.11921470060321,1.01453723659531,0.310326470699286,0.734086068403795
"CELE_F53G12.6",1.68281699217323,2.65196308091809,3.17301264670498,0.835787113446279,0.403274677344388,NA
"CELE_F53G12.5",938.871322925577,0.0232850124719569,0.3617210004341,0.0643728521263974,0.948673346045442,0.989220201760678
"CELE_F53G12.4",27.6242022259549,0.131091883736127,0.986749781831932,0.132852204428919,0.894310267074204,0.976893901248413
"CELE_F53G12.3",3.62731015457978,1.94349718958777,2.73388381208279,0.710892387232481,0.477150923849213,NA
"CELE_F53G12.18",19.2562607370399,0.538832163226113,0.790030289672008,0.682039879065671,0.495213734714606,0.835435140985218
"CELE_F56C11.1",860.970478725831,-0.169905744141089,0.351799208642128,-0.482962269292446,0.629122526726629,0.894960020568234
"CELE_F56C11.2",545.232224083924,0.355887561637788,0.339700574560979,1.04765074977494,0.29479954634381,0.723331469394526
"CELE_F56C11.6",2039.3685994804,0.840813762309431,0.239915787467116,3.50462039695774,0.000457258760722521,0.0509858268488215
"CELE_F56C11.7",1.3655454602623,-3.55030459585172,3.6945736605132,-0.960951092624462,0.336576759312146,NA
"CELE_F56C11.5",296.696273735003,0.311402663160721,0.357522185118959,0.87100234928668,0.383752870349822,0.778359448216873
"CELE_F56C11.3",324.039365450793,0.091674080014818,0.396572042426878,0.231166270455693,0.817185632638467,0.954048995310967
"CELE_Y48G1BL.2",521.884090606884,-0.391549381434055,0.402388850155957,-0.973062204090147,0.330522387310938,0.746902172985515
"CELE_Y48G1BL.7",26.7123095053624,0.425821568646542,0.79268436915591,0.537189309157159,0.59113685520944,0.880894832607756
"CELE_Y48G1BL.3",64.5580318301647,-0.31553465935526,0.855356257180656,-0.368892676830698,0.712207722042784,0.921020823664878
"CELE_Y48G1BL.1",62.6149695400316,-0.443905227008558,0.644368789876503,-0.68889932905291,0.49088662169414,0.835435140985218
"CELE_Y48G1BL.8",20.8994846017016,1.49108832387085,1.08866410759502,1.36964956727088,0.170796318772134,0.617037156010939
"CELE_Y48G1BL.5",47.4659389643196,-0.366440248069452,0.531590767926265,-0.689327712554029,0.490617062301721,0.835435140985218
"CELE_Y48G1BM.10",25.0368064542955,-1.40649734118403,1.04818439554067,-1.34184151869437,0.179647386995358,0.627941356264943
"CELE_Y48G1BM.6",60.1984311176807,-1.14596195451078,0.649125061060849,-1.7653947186047,0.0774974503945106,0.492422218811885
"CELE_Y48G1BM.8",30.9944417230455,1.4101665264812,0.810033164938598,1.74087504995934,0.0817054829960045,0.500480512288673
"CELE_Y48G1BM.1",168.537301787488,0.793311510441836,0.422838458256653,1.87615741887015,0.060633667150108,0.456547259244352
"CELE_Y48G1BR.1",1367.97709847251,0.0995846269678527,0.282747899468307,0.352202888704448,0.724686110705517,0.925304369778541
"CELE_C53D5.2",223.743779918717,0.590970757833317,0.315093316702772,1.87554202677926,0.0607181934059915,0.456853520520571
"CELE_C53D5.4",312.461312177648,-0.0203818233028307,0.267607598310555,-0.0761630963825546,0.939289342197983,0.986613148746358
"CELE_C53D5.1",493.356918446864,-0.022637102988464,0.253452251816611,-0.0893150596461985,0.928831526034691,0.984523766009963
"CELE_C53D5.5",498.760448896993,-0.154146709145215,0.334923812472155,-0.460244101508997,0.645341019015806,0.902175394264124
"CELE_C53D5.6",5415.40181722583,0.411628428181609,0.266571530175778,1.54415750215404,0.122550181383879,0.560971988112392
"CELE_Y48G1A.7",99.8382116769433,-0.0408737442311061,0.492363176248529,-0.0830154369840087,0.933839265044504,0.984924239712433
"CELE_Y48G1A.5",1132.91467651578,0.15444050522169,0.401011540702251,0.385127333121719,0.700143078076441,0.91700809621646
"CELE_Y48G1A.4",929.473626678217,0.0824180076927055,0.240182208158481,0.343147847313999,0.731487236969272,0.926922348892142
