"gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CELE_Y74C9A.6",2.6944433065179,-0.632703974913675,3.12459812307935,-0.202491312479613,0.839532649380904,NA
"CELE_Y74C9A.3",838.775497704669,0.071004510720731,0.134172537382272,0.529203010586523,0.596664628461788,0.961860736242198
"CELE_Y74C9A.2",5840.69375898177,0.135359069178123,0.14141765651077,0.957158197341602,0.338487412845452,0.883938077848114
"CELE_Y74C9A.4",1169.22690897223,-0.157426498355436,0.163332453135033,-0.963840898325861,0.33512569852814,0.881713806124834
"CELE_Y74C9A.9",124.65297824826,0.380453129073462,0.450479579887267,0.844551331646755,0.398361391839785,0.913424399751161
"CELE_Y74C9A.5",1170.18135051255,0.353542345824709,0.173855691431267,2.03353909736387,0.041998087729047,0.457736460169568
"CELE_Y74C9A.8",128.7928770525,0.828182313242012,0.435217792955966,1.90291464789861,0.0570516833192452,0.515041444008994
"CELE_Y74C9A.1",7.68985377871416,1.58790374173613,1.6652701117224,0.953541248688929,0.340315907088035,0.883982364420779
"CELE_Y48G1C.12",387.00886991509,-0.363117727951134,0.226500671280151,-1.6031640255141,0.108898445565291,0.646796822559354
"CELE_Y48G1C.4",522.532923051891,-0.000287340568429047,0.191322252911771,-0.00150186694990235,0.998801683998781,1
"CELE_Y48G1C.5",16.2272100303383,-0.497337627463175,1.12551118795642,-0.441877106851498,0.658578137663654,0.968199032410317
"CELE_Y48G1C.2",1325.83415108368,0.050364062785436,0.189416964960767,0.265889925941257,0.790323983852891,0.985909978422903
"CELE_Y48G1C.10",699.332861200346,-0.0455678701033654,0.23676962272756,-0.192456572673591,0.847384581957333,0.988412012372764
"CELE_Y48G1C.6",363.577766493821,0.21438777626631,0.235335127269421,0.910989271996232,0.362301026241807,0.895216231614418
"CELE_Y48G1C.9",557.807122302209,0.0379884774263622,0.192458842334754,0.197384941972616,0.843526312386291,0.988167816233756
"CELE_Y48G1C.1",462.779214281755,0.0774074342050404,0.197019915370409,0.392891419425848,0.694399679339752,0.975706136892974
"CELE_Y48G1C.13",14.2975488883435,-0.866236469599059,1.04310744934438,-0.830438388819398,0.406290968551672,0.916228947149846
"CELE_Y48G1C.8",2127.44433091649,-0.0447328044702969,0.246485794532858,-0.181482281991443,0.855989039155232,0.988681094391987
"CELE_F53G12.1",14032.5435234638,-0.153370263092723,0.12251903171324,-1.25180766569958,0.210639956200507,0.786740236408892
"CELE_F53G12.16",0.783222309296724,-3.87323905366507,3.70650776412611,-1.04498339141569,0.296030645721821,NA
"CELE_F53G12.15",0.783222309296724,-3.87323905366507,3.70650776412611,-1.04498339141569,0.296030645721821,NA
"CELE_F53G12.10",169166.104413304,0.0834908162120158,0.0916931455779176,0.910545883073324,0.362534695612516,0.895216231614418
"CELE_F53G12.17",8.00724663311634,0.882662472955269,1.96171908245403,0.449943358786668,0.652751282465502,0.968199032410317
"CELE_F53G12.12",8.00724663311634,0.882662472955269,1.96171908245403,0.449943358786668,0.652751282465502,0.968199032410317
"CELE_F53G12.9",468.264126340705,-0.251559382670218,0.230252103345302,-1.09253891284963,0.274596296364767,0.844173793356803
"CELE_F53G12.8",13.6751150655715,-0.254259764473808,1.59372176540744,-0.159538364846768,0.873244734597218,0.989026857694454
"CELE_F53G12.7",21.718704196093,-1.27555607664177,0.820450484041069,-1.55470208312769,0.120017038263665,0.670590022197035
"CELE_F53G12.6",4.03576929337135,-0.413013998082411,2.06639286708822,-0.199871962713651,0.841580718494413,0.988167816233756
"CELE_F53G12.5",1123.6487895119,0.27034972998602,0.186231551727812,1.45168596555084,0.146588943386522,0.710164743939396
"CELE_F53G12.4",23.6082177604027,0.386060119840535,0.806304820852497,0.478801701113926,0.63207970638902,0.965604034699675
"CELE_F53G12.3",16.9463208552354,-5.30776233012748,1.80626137691818,-2.93853503039715,0.0032976738943335,0.108188213472543
"CELE_F53G12.18",42.1354810762165,0.111959027925644,0.600598237618677,0.186412514911053,0.852121278960581,0.988681094391987
"CELE_F56C11.1",1615.1794138056,-0.0178146098387352,0.199580859757212,-0.0892601117181603,0.928875193725355,0.996357944840439
"CELE_F56C11.2",1428.6124418632,0.476389070310151,0.242167842278315,1.96718550996814,0.0491618279027123,0.484564208591714
"CELE_F56C11.6",1541.77895245938,0.5189905649212,0.115065897545005,4.5103768883236,6.4712549128772e-06,0.000854998047060551
"CELE_F56C11.5",319.604520653134,-0.719931204878834,0.257299508378947,-2.79802790691123,0.00514156701041709,0.14084557754065
"CELE_F56C11.3",310.341510242305,-0.084599604226245,0.265534851429559,-0.318600755308715,0.750029280617177,0.982110692663825
"CELE_Y48G1BL.2",1029.574799379,-0.15227310328105,0.267837017350446,-0.568528968801243,0.569675841029549,0.957509400447695
"CELE_Y48G1BL.7",73.5663644609128,0.0398463858497733,0.40943675416841,0.0973200022814355,0.922472271873899,0.995344104902865
"CELE_Y48G1BL.3",150.757547367784,-0.76021497545269,0.385708699678249,-1.97095625814727,0.048728879310845,0.483027701772949
