,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,F04,SYBR,fbxa-128,Unkn,N2 treated,75.5,1298.35430007096,62.5,86,
,F05,SYBR,fbxa-128,Unkn,N2 treated,75.5,1222.35084414008,62.5,86.5,
,F06,SYBR,fbxa-128,Unkn,N2 treated,75.5,1435.7342904016,62.5,83,
,F07,SYBR,fbxa-128,Unkn,FAU5,75.5,1349.76400837963,62.5,84,
,F08,SYBR,fbxa-128,Unkn,FAU5,75.5,1321.31939749727,64,85,
,F09,SYBR,fbxa-128,Unkn,FAU5,75.5,1417.60550189181,62.5,85.5,
,F10,SYBR,fbxa-128,Unkn,FAU5 treated,75.5,1392.18801512395,63.5,85,
,F11,SYBR,fbxa-128,Unkn,FAU5 treated,75.5,1539.03728966957,62.5,86.5,
,F12,SYBR,fbxa-128,Unkn,FAU5 treated,75.5,1230.70109855143,62.5,85,
,G01,SYBR,tba-1,NRT,N2,None,None,None,None,
,G02,SYBR,oac-7,NRT,N2,None,None,None,None,
,G03,SYBR,ugt-29,NRT,N2,None,None,None,None,
,G04,SYBR,ugt-31,NRT,N2,None,None,None,None,
,G05,SYBR,fbxa-79,NRT,N2,None,None,None,None,
,G06,SYBR,fbxa-128,NRT,N2,None,None,None,None,
,G07,SYBR,tba-1,NRT,N2 treated,None,None,None,None,
,G08,SYBR,oac-7,NRT,N2 treated,None,None,None,None,
,G09,SYBR,ugt-29,NRT,N2 treated,None,None,None,None,
,G10,SYBR,fbxa-128,NRT,N2 treated,None,None,None,None,
,G11,SYBR,ugt-31,NRT,N2 treated,None,None,None,None,
,G12,SYBR,fbxa-79,NRT,N2 treated,None,None,None,None,
,H01,SYBR,tba-1,NRT,FAU5,None,None,None,None,
,H02,SYBR,oac-7,NRT,FAU5,None,None,None,None,
,H03,SYBR,ugt-29,NRT,FAU5,None,None,None,None,
,H04,SYBR,ugt-31,NRT,FAU5,None,None,None,None,
,H05,SYBR,fbxa-79,NRT,FAU5,None,None,None,None,
,H06,SYBR,fbxa-128,NRT,FAU5,None,None,None,None,
,H07,SYBR,tba-1,NRT,FAU5 treated,None,None,None,None,
,H08,SYBR,oac-7,NRT,FAU5 treated,None,None,None,None,
,H09,SYBR,ugt-29,NRT,FAU5 treated,None,None,None,None,
,H10,SYBR,fbxa-128,NRT,FAU5 treated,None,None,None,None,
,H11,SYBR,ugt-31,NRT,FAU5 treated,None,None,None,None,
,H12,SYBR,fbxa-79,NRT,FAU5 treated,None,None,None,None,
