gene_symbol,lfc_treat_N2,padj_treat_N2,lfc_treat_RB,padj_treat_RB,lfc_geno_unt,padj_geno_unt,lfc_geno_trt,padj_geno_trt,lfc_gxe,padj_gxe,effect_class,display_name
T16G1.5,4.14255807994006,8.674153055533689e-42,0.335882934005666,0.228814312261167,4.01304929930013,7.011362916442361e-38,0.13947015765764,0.609768749459384,-3.60155262046415,5.07978221882798e-23,GxE,T16G1.5
K10G6.4,2.88409792834445,0.0028507642811576,-0.321232886388836,0.432882273317467,2.8989806099001,0.012626860945513,-0.0854091004355292,0.670032754006032,-3.99377117904342,0.0041788739815594,GxE,cank-26
Y58A7A.4,5.5397801829901,1.67521290293084e-126,1.94795694041356,1.60764420143823e-17,3.33094811861352,6.55933355912459e-45,-0.0842058207963063,0.775783855137829,-3.51129592477342,3.7541104928389103e-38,GxE,Y58A7A.4
C49G7.7,6.7995856778423,1.9985989700959898e-78,3.43927245899415,4.98995567361052e-30,3.28111421837713,1.3159352782342401e-17,0.0153221902709605,0.969102036165166,-3.21388212424349,5.72972117174478e-14,GxE,C49G7.7
C45B11.2,4.42021905734244,6.582559952940069e-11,0.585127060592495,0.148893639804244,3.48268698345949,2.95173562903501e-06,0.0490438550241619,0.863370008417055,-3.00393911846467,0.000750360049168,GxE,C45B11.2
B0284.2,4.74039472297548,1.19873570210239e-08,0.318821892503333,0.42737097491197,2.83849440728504,0.002920893237945,-0.0755054341568242,0.735548536059791,-3.54435678679828,0.0012666225457674,GxE,pals-27
Y58A7A.5,7.42414956254889,9.35780968582387e-221,4.07052305086551,1.93459336297062e-70,3.03251737725399,2.23677908504465e-36,-0.110396805214119,0.693013670358459,-3.27027621077868,3.52684954709485e-32,GxE,Y58A7A.5
T21E8.2,4.60068683873951,1.8506242210774702e-10,0.323839451227505,0.412830253824694,2.54115165674255,0.0018719855586738,-0.121667967976358,0.583813552002166,-3.49172074542004,0.0002584222126887,GxE,pgp-7
Y39G10AR.6,2.29599460462333,6.85170529280902e-44,-0.380640807774006,0.0246434899456298,3.15742490459598,6.72633837847327e-82,0.278353393454549,0.150185762984381,-2.74056980384637,1.24205513029908e-45,GxE,ugt-31
T22B7.7,0.091975254300617,0.920523908124227,-3.13414380836693,0.0002046896182335,2.19709877567839,0.0456984601296015,-0.10284260565724,0.576462660699642,-3.65426576063735,0.0139368879299416,GxE,T22B7.7
C49G7.12,4.75362374838606,7.62972429803188e-54,2.11271960419202,2.67782969594811e-12,3.2791476628392,7.275322318283361e-25,0.347070763559873,0.168869989334637,-2.48784721235261,4.2636620759905394e-11,GxE,C49G7.12
Y58A7A.3,4.67627076155993,2.0521464583513103e-117,1.57287058722137,1.04419758466785e-14,2.64586252161285,5.03683714522125e-37,-0.205483086575326,0.393519167052212,-3.0202104428791,3.52394133461856e-36,GxE,Y58A7A.3
Y39A3A.4,3.79674585980697,6.3704779693326596e-34,0.909181046471902,0.0019553768647414,2.83402186493443,3.7349346823303e-18,0.0495696706360482,0.890184766028933,-2.66707597395045,2.88759015168657e-12,GxE,Y39A3A.4
R10D12.17,2.34958148294272,0.0011578226372673,-0.196152263857242,0.627807403464729,2.61108834184395,0.0021070813540178,-0.035801293522868,0.904244681736207,-2.84126482666909,0.0046425733054199,GxE,srw-145
F43C1.7,6.40058605361833,4.60580203944384e-65,3.20729052821067,9.36613222871729e-19,2.37392033366874,7.5926435799612e-09,-0.200556953268599,0.440379675201506,-2.99567862543547,8.5913945442709e-11,GxE,F43C1.7
Y49C4A.8,3.60339348863036,4.46394485740661e-172,0.979740949490791,4.4433892385543e-14,2.64909368085429,5.334824376296e-92,0.0412679127835839,0.89212869921243,-2.58228021944255,1.0942085653333e-65,GxE,ugt-29
Y47D3A.2,2.85215582853336,4.36064039084366e-23,0.105819140216186,0.731663097370262,2.42981205227954,5.25173604405797e-16,-0.0834878133246973,0.78191088753822,-2.65004952102556,5.4054599826059104e-14,GxE,fbxa-128
K11H12.3,4.24119033681909,6.17276557762561e-27,1.48105222077181,4.76054501404176e-05,2.33286069817916,6.79426228808287e-08,-0.0357963109893216,0.923884621631231,-2.44414713481685,9.63471685258624e-07,GxE,K11H12.3
C10C5.2,5.52085204948903,9.32433537389743e-89,2.93474333777166,7.22327792611416e-27,2.22052000448617,3.65443581495361e-14,-0.0996035832955889,0.731671828818737,-2.45405542185632,2.82863476288009e-13,GxE,fbxc-58
T06E6.5,1.17508013374328,0.0446995375323099,-0.27435530041024,0.471140240778106,2.89254039526393,2.50965134968221e-05,0.149238336334675,0.527677070694149,-1.68063572148927,0.0454950493157652,GxE,fbxa-135
C31A11.7,2.94536857264231,1.23523289349706e-25,0.757112791759067,0.0046365729370361,2.35841847412941,6.60192926277722e-16,0.141711840515199,0.603530666568606,-1.96816426074215,2.3549807534106e-08,GxE,oac-7
F15B9.6,1.27126535505279,7.4304865378076e-07,-0.362640200194975,0.127922764884449,2.46046960177688,1.43271085433808e-22,0.418941716158309,0.0743459530069752,-1.7446935568632,2.867822941065e-08,GxE,F15B9.6
C29F9.4,1.04790516436207,3.40912634342262e-07,-0.868758935521917,1.05338601820672e-05,2.22046619939506,3.41812248996125e-28,0.115997918299862,0.669259236023708,-1.9773812372607,1.3539460880111299e-16,GxE,pals-24
C10C5.3,2.11248975920436,7.9995011418799e-08,0.0242459144286064,0.952891653627518,2.13657926296394,5.97902764777659e-07,0.0217411823796994,0.954859454884578,-1.98625501731504,9.44118726692655e-05,GxE,C10C5.3
Y17D7B.3,5.37099517071969,1.17543247726584e-40,2.91303062845574,1.5062592591939998e-14,1.83062980673154,6.51065853177589e-05,-0.106834017485368,0.703483811936024,-2.20203227355315,1.71307749998897e-05,GxE,Y17D7B.3
T24A6.7,4.47881091125837,4.75082113731676e-24,2.13681171458372,4.78110136885032e-07,1.96031004847838,7.74968985436343e-05,-0.0119226080686409,0.975501277782737,-1.93944761422113,0.0010510051311166,GxE,T24A6.7
E03H4.8,3.11456704790914,3.89585283664012e-97,1.32468921937907,4.80547281701415e-19,1.97267100718475,2.80213290274416e-37,0.132210740580117,0.570866494504004,-1.75811810853054,3.4136519117138797e-22,GxE,E03H4.8
K11H12.4,4.5037057646359,3.93593326049725e-61,2.36882224870275,3.1647851329359696e-18,1.61947763854195,7.12346073835792e-08,-0.166492533099865,0.532406358193171,-2.01713077854946,3.5935410492727803e-09,GxE,K11H12.4
F08F3.7,3.24702579988975,5.4734606121840904e-145,1.52172421861714,3.75615506253995e-33,1.9454665000244,3.49222924626318e-51,0.181076960200504,0.346998051856198,-1.68421209596719,8.54054477402316e-29,GxE,cyp-14a5
K09D9.1,5.41924389553062,1.7975505644034101e-53,3.25224416764848,7.60515451601463e-21,1.61857827387467,4.92882955713051e-05,-0.100174480578241,0.727006496364098,-1.94148135951229,2.76865541464498e-05,GxE,K09D9.1
F28D1.3,-4.1279030282855,1.1657575447407e-07,-0.283839579115473,0.480066763932749,-2.44149477950755,0.0055005750286974,0.0619928485096125,0.786671058022255,3.00610255704598,0.0047860025750517,GxE,thn-1
F37B1.8,2.80652765824756,3.72155265177578e-08,5.84734992290909,2.31709228173208e-31,-1.16447043417275,0.0404241970864497,0.564373986607217,0.0589622309298599,2.87139244774162,4.39536272611269e-05,GxE,gst-19
F22B5.4,2.74045366144116,1.01399650461206e-15,5.36039582772956,2.8240229730419e-48,-3.24311744829316,1.1012038758151001e-16,-0.232786683001338,0.37536484233694,2.57165224571523,4.049787078230111e-09,GxE,F22B5.4
C45G7.3,-3.3378272041506,6.5471979437918e-16,-0.566802864527225,0.0961221898484692,-1.84580071487392,5.36925022366899e-05,0.128902441711677,0.633239429777833,2.33878417234066,1.52621873295228e-05,GxE,ilys-3
T26H5.4,-1.38996540625377,0.001454320627968,0.283701446438238,0.406005534304779,-1.42223014818218,0.0045580546344727,0.107623740212028,0.691183744227492,1.88068167843855,0.001628149007423,GxE,T26H5.4
