,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,H01,SYBR,ugt-31,Unkn,RB2060,2646.48399651343,,Unknown,Unassigned,False
,H02,SYBR,ugt-31,Unkn,RB2060,2905.14752465804,,Unknown,Unassigned,False
,H03,SYBR,ugt-31,Unkn,RB2060,2935.23079032362,,Unknown,Unassigned,False
,H04,SYBR,ugt-31,Unkn,RB2060 treated,2672.66278233198,,Unknown,Unassigned,False
,H05,SYBR,ugt-31,Unkn,RB2060 treated,2677.50942312172,,Unknown,Unassigned,False
,H06,SYBR,ugt-31,Unkn,RB2060 treated,2550.44721786029,,Unknown,Unassigned,False
,H07,SYBR,ugt-31,NRT,FAU5,1.02019800448024,,NRT,Unassigned,False
,H08,SYBR,ugt-31,NRT,FAU5 treated,0.0134300120145781,,NRT,Unassigned,False
,H09,SYBR,ugt-31,NRT,RB2060,0.436790096892673,,NRT,Unassigned,False
,H10,SYBR,ugt-31,NRT,RB2060 treated,0.866070654346913,,NRT,Unassigned,False
,H11,SYBR,ugt-31,NRT,N2,1.26149815335411,,NRT,Unassigned,False
,H12,SYBR,ugt-31,NRT,N2 treated,0.601763177701741,,NRT,Unassigned,False
